municipio,trimestre,Ocupação no trabalho,quantidade de ocupação no trabalho
Rondônia,3º trimestre 2013,Construção,76.0
Rondônia,3º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",153.0
Rondônia,3º trimestre 2013,"Transporte, armazenagem e correio",29.0
Rondônia,3º trimestre 2013,Alojamento e alimentação,23.0
Rondônia,3º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",48.0
Rondônia,3º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",130.0
Rondônia,3º trimestre 2013,Outros serviços,24.0
Rondônia,3º trimestre 2013,Serviços domésticos,38.0
Rondônia,3º trimestre 2013,Atividades mal definidas,0.0
Rondônia,4º trimestre 2013,"Agricultura, pecuária, produção florestal, pesca e aquicultura",163.0
Rondônia,4º trimestre 2013,Indústria geral,71.0
Rondônia,4º trimestre 2013,Indústria de transformação,55.0
Rondônia,4º trimestre 2013,Construção,67.0
Rondônia,4º trimestre 2013,"Comércio, reparação de veículos automotores e motocicletas",151.0
Rondônia,4º trimestre 2013,"Transporte, armazenagem e correio",27.0
Rondônia,4º trimestre 2013,Alojamento e alimentação,22.0
Rondônia,4º trimestre 2013,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",47.0
Rondônia,4º trimestre 2013,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",137.0
Rondônia,4º trimestre 2013,Outros serviços,25.0
Rondônia,4º trimestre 2013,Serviços domésticos,37.0
Rondônia,4º trimestre 2013,Atividades mal definidas,0.0
Rondônia,1º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",158.0
Rondônia,1º trimestre 2014,Indústria geral,77.0
Rondônia,1º trimestre 2014,Indústria de transformação,62.0
Rondônia,1º trimestre 2014,Construção,65.0
Rondônia,1º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",153.0
Rondônia,1º trimestre 2014,"Transporte, armazenagem e correio",30.0
Rondônia,1º trimestre 2014,Alojamento e alimentação,23.0
Rondônia,1º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",47.0
Rondônia,1º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",131.0
Rondônia,1º trimestre 2014,Outros serviços,26.0
Rondônia,1º trimestre 2014,Serviços domésticos,45.0
Rondônia,1º trimestre 2014,Atividades mal definidas,0.0
Rondônia,2º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",173.0
Rondônia,2º trimestre 2014,Indústria geral,73.0
Rondônia,2º trimestre 2014,Indústria de transformação,58.0
Rondônia,2º trimestre 2014,Construção,62.0
Rondônia,2º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",142.0
Rondônia,2º trimestre 2014,"Transporte, armazenagem e correio",28.0
Rondônia,2º trimestre 2014,Alojamento e alimentação,29.0
Rondônia,2º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",49.0
Rondônia,2º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",125.0
Rondônia,2º trimestre 2014,Outros serviços,24.0
Rondônia,2º trimestre 2014,Serviços domésticos,41.0
Rondônia,2º trimestre 2014,Atividades mal definidas,0.0
Rondônia,3º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",160.0
Rondônia,3º trimestre 2014,Indústria geral,78.0
Rondônia,3º trimestre 2014,Indústria de transformação,60.0
Rondônia,3º trimestre 2014,Construção,60.0
Rondônia,3º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",153.0
Rondônia,3º trimestre 2014,"Transporte, armazenagem e correio",31.0
Rondônia,3º trimestre 2014,Alojamento e alimentação,29.0
Rondônia,3º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",53.0
Rondônia,3º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",125.0
Rondônia,3º trimestre 2014,Outros serviços,25.0
Rondônia,3º trimestre 2014,Serviços domésticos,38.0
Rondônia,3º trimestre 2014,Atividades mal definidas,0.0
Rondônia,4º trimestre 2014,"Agricultura, pecuária, produção florestal, pesca e aquicultura",165.0
Rondônia,4º trimestre 2014,Indústria geral,83.0
Rondônia,4º trimestre 2014,Indústria de transformação,62.0
Rondônia,4º trimestre 2014,Construção,57.0
Rondônia,4º trimestre 2014,"Comércio, reparação de veículos automotores e motocicletas",166.0
Rondônia,4º trimestre 2014,"Transporte, armazenagem e correio",31.0
Rondônia,4º trimestre 2014,Alojamento e alimentação,27.0
Rondônia,4º trimestre 2014,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",54.0
Rondônia,4º trimestre 2014,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",124.0
Rondônia,4º trimestre 2014,Outros serviços,28.0
Rondônia,4º trimestre 2014,Serviços domésticos,38.0
Rondônia,4º trimestre 2014,Atividades mal definidas,0.0
Rondônia,1º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",167.0
Rondônia,1º trimestre 2015,Indústria geral,81.0
Rondônia,1º trimestre 2015,Indústria de transformação,61.0
Rondônia,1º trimestre 2015,Construção,54.0
Rondônia,1º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",164.0
Rondônia,1º trimestre 2015,"Transporte, armazenagem e correio",29.0
Rondônia,1º trimestre 2015,Alojamento e alimentação,26.0
Rondônia,1º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",55.0
Rondônia,1º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",123.0
Rondônia,1º trimestre 2015,Outros serviços,23.0
Rondônia,1º trimestre 2015,Serviços domésticos,34.0
Rondônia,1º trimestre 2015,Atividades mal definidas,0.0
Rondônia,2º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",161.0
Rondônia,2º trimestre 2015,Indústria geral,87.0
Rondônia,2º trimestre 2015,Indústria de transformação,67.0
Rondônia,2º trimestre 2015,Construção,54.0
Rondônia,2º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",147.0
Rondônia,2º trimestre 2015,"Transporte, armazenagem e correio",32.0
Rondônia,2º trimestre 2015,Alojamento e alimentação,24.0
Rondônia,2º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",60.0
Rondônia,2º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",122.0
Rondônia,2º trimestre 2015,Outros serviços,26.0
Rondônia,2º trimestre 2015,Serviços domésticos,35.0
Rondônia,2º trimestre 2015,Atividades mal definidas,0.0
Rondônia,3º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",161.0
Rondônia,3º trimestre 2015,Indústria geral,83.0
Rondônia,3º trimestre 2015,Indústria de transformação,63.0
Rondônia,3º trimestre 2015,Construção,64.0
Rondônia,3º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",152.0
Rondônia,3º trimestre 2015,"Transporte, armazenagem e correio",31.0
Rondônia,3º trimestre 2015,Alojamento e alimentação,23.0
Rondônia,3º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",53.0
Rondônia,3º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",126.0
Rondônia,3º trimestre 2015,Outros serviços,23.0
Rondônia,3º trimestre 2015,Serviços domésticos,38.0
Rondônia,3º trimestre 2015,Atividades mal definidas,0.0
Rondônia,4º trimestre 2015,"Agricultura, pecuária, produção florestal, pesca e aquicultura",162.0
Rondônia,4º trimestre 2015,Indústria geral,70.0
Rondônia,4º trimestre 2015,Indústria de transformação,58.0
Rondônia,4º trimestre 2015,Construção,78.0
Rondônia,4º trimestre 2015,"Comércio, reparação de veículos automotores e motocicletas",153.0
Rondônia,4º trimestre 2015,"Transporte, armazenagem e correio",35.0
Rondônia,4º trimestre 2015,Alojamento e alimentação,26.0
Rondônia,4º trimestre 2015,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",43.0
Rondônia,4º trimestre 2015,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",127.0
Rondônia,4º trimestre 2015,Outros serviços,28.0
Rondônia,4º trimestre 2015,Serviços domésticos,42.0
Rondônia,4º trimestre 2015,Atividades mal definidas,0.0
Rondônia,1º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",167.0
Rondônia,1º trimestre 2016,Indústria geral,60.0
Rondônia,1º trimestre 2016,Indústria de transformação,50.0
Rondônia,1º trimestre 2016,Construção,64.0
Rondônia,1º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",151.0
Rondônia,1º trimestre 2016,"Transporte, armazenagem e correio",33.0
Rondônia,1º trimestre 2016,Alojamento e alimentação,27.0
Rondônia,1º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",51.0
Rondônia,1º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",133.0
Rondônia,1º trimestre 2016,Outros serviços,23.0
Rondônia,1º trimestre 2016,Serviços domésticos,41.0
Rondônia,1º trimestre 2016,Atividades mal definidas,0.0
Rondônia,2º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",183.0
Rondônia,2º trimestre 2016,Indústria geral,65.0
Rondônia,2º trimestre 2016,Indústria de transformação,58.0
Rondônia,2º trimestre 2016,Construção,62.0
Rondônia,2º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",141.0
Rondônia,2º trimestre 2016,"Transporte, armazenagem e correio",34.0
Rondônia,2º trimestre 2016,Alojamento e alimentação,29.0
Rondônia,2º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",47.0
Rondônia,2º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",138.0
Rondônia,2º trimestre 2016,Outros serviços,22.0
Rondônia,2º trimestre 2016,Serviços domésticos,44.0
Rondônia,2º trimestre 2016,Atividades mal definidas,0.0
Rondônia,3º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",167.0
Rondônia,3º trimestre 2016,Indústria geral,57.0
Rondônia,3º trimestre 2016,Indústria de transformação,46.0
Rondônia,3º trimestre 2016,Construção,66.0
Rondônia,3º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",151.0
Rondônia,3º trimestre 2016,"Transporte, armazenagem e correio",35.0
Rondônia,3º trimestre 2016,Alojamento e alimentação,31.0
Rondônia,3º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",50.0
Rondônia,3º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",124.0
Rondônia,3º trimestre 2016,Outros serviços,28.0
Rondônia,3º trimestre 2016,Serviços domésticos,37.0
Rondônia,3º trimestre 2016,Atividades mal definidas,0.0
Rondônia,4º trimestre 2016,"Agricultura, pecuária, produção florestal, pesca e aquicultura",177.0
Rondônia,4º trimestre 2016,Indústria geral,61.0
Rondônia,4º trimestre 2016,Indústria de transformação,50.0
Rondônia,4º trimestre 2016,Construção,61.0
Rondônia,4º trimestre 2016,"Comércio, reparação de veículos automotores e motocicletas",155.0
Rondônia,4º trimestre 2016,"Transporte, armazenagem e correio",33.0
Rondônia,4º trimestre 2016,Alojamento e alimentação,35.0
Rondônia,4º trimestre 2016,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",44.0
Rondônia,4º trimestre 2016,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",129.0
Rondônia,4º trimestre 2016,Outros serviços,25.0
Rondônia,4º trimestre 2016,Serviços domésticos,43.0
Rondônia,4º trimestre 2016,Atividades mal definidas,0.0
Rondônia,1º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",167.0
Rondônia,1º trimestre 2017,Indústria geral,66.0
Rondônia,1º trimestre 2017,Indústria de transformação,54.0
Rondônia,1º trimestre 2017,Construção,63.0
Rondônia,1º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",142.0
Rondônia,1º trimestre 2017,"Transporte, armazenagem e correio",34.0
Rondônia,1º trimestre 2017,Alojamento e alimentação,36.0
Rondônia,1º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",41.0
Rondônia,1º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",128.0
Rondônia,1º trimestre 2017,Outros serviços,21.0
Rondônia,1º trimestre 2017,Serviços domésticos,44.0
Rondônia,1º trimestre 2017,Atividades mal definidas,0.0
Rondônia,2º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",172.0
Rondônia,2º trimestre 2017,Indústria geral,64.0
Rondônia,2º trimestre 2017,Indústria de transformação,51.0
Rondônia,2º trimestre 2017,Construção,64.0
Rondônia,2º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",148.0
Rondônia,2º trimestre 2017,"Transporte, armazenagem e correio",33.0
Rondônia,2º trimestre 2017,Alojamento e alimentação,28.0
Rondônia,2º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",51.0
Rondônia,2º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",127.0
Rondônia,2º trimestre 2017,Outros serviços,26.0
Rondônia,2º trimestre 2017,Serviços domésticos,47.0
Rondônia,2º trimestre 2017,Atividades mal definidas,0.0
Rondônia,3º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",163.0
Rondônia,3º trimestre 2017,Indústria geral,65.0
Rondônia,3º trimestre 2017,Indústria de transformação,55.0
Rondônia,3º trimestre 2017,Construção,66.0
Rondônia,3º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",152.0
Rondônia,3º trimestre 2017,"Transporte, armazenagem e correio",35.0
Rondônia,3º trimestre 2017,Alojamento e alimentação,29.0
Rondônia,3º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",52.0
Rondônia,3º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",136.0
Rondônia,3º trimestre 2017,Outros serviços,26.0
Rondônia,3º trimestre 2017,Serviços domésticos,50.0
Rondônia,3º trimestre 2017,Atividades mal definidas,0.0
Rondônia,4º trimestre 2017,"Agricultura, pecuária, produção florestal, pesca e aquicultura",173.0
Rondônia,4º trimestre 2017,Indústria geral,62.0
Rondônia,4º trimestre 2017,Indústria de transformação,54.0
Rondônia,4º trimestre 2017,Construção,58.0
Rondônia,4º trimestre 2017,"Comércio, reparação de veículos automotores e motocicletas",162.0
Rondônia,4º trimestre 2017,"Transporte, armazenagem e correio",31.0
Rondônia,4º trimestre 2017,Alojamento e alimentação,41.0
Rondônia,4º trimestre 2017,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",48.0
Rondônia,4º trimestre 2017,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",142.0
Rondônia,4º trimestre 2017,Outros serviços,28.0
Rondônia,4º trimestre 2017,Serviços domésticos,44.0
Rondônia,4º trimestre 2017,Atividades mal definidas,0.0
Rondônia,1º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",168.0
Rondônia,1º trimestre 2018,Indústria geral,64.0
Rondônia,1º trimestre 2018,Indústria de transformação,56.0
Rondônia,1º trimestre 2018,Construção,54.0
Rondônia,1º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",155.0
Rondônia,1º trimestre 2018,"Transporte, armazenagem e correio",37.0
Rondônia,1º trimestre 2018,Alojamento e alimentação,35.0
Rondônia,1º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",45.0
Rondônia,1º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",139.0
Rondônia,1º trimestre 2018,Outros serviços,26.0
Rondônia,1º trimestre 2018,Serviços domésticos,40.0
Rondônia,1º trimestre 2018,Atividades mal definidas,1.0
Rondônia,2º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",173.0
Rondônia,2º trimestre 2018,Indústria geral,63.0
Rondônia,2º trimestre 2018,Indústria de transformação,54.0
Rondônia,2º trimestre 2018,Construção,56.0
Rondônia,2º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",161.0
Rondônia,2º trimestre 2018,"Transporte, armazenagem e correio",30.0
Rondônia,2º trimestre 2018,Alojamento e alimentação,35.0
Rondônia,2º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",42.0
Rondônia,2º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",144.0
Rondônia,2º trimestre 2018,Outros serviços,23.0
Rondônia,2º trimestre 2018,Serviços domésticos,40.0
Rondônia,2º trimestre 2018,Atividades mal definidas,0.0
Rondônia,3º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",170.0
Rondônia,3º trimestre 2018,Indústria geral,67.0
Rondônia,3º trimestre 2018,Indústria de transformação,57.0
Rondônia,3º trimestre 2018,Construção,58.0
Rondônia,3º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",154.0
Rondônia,3º trimestre 2018,"Transporte, armazenagem e correio",34.0
Rondônia,3º trimestre 2018,Alojamento e alimentação,39.0
Rondônia,3º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",48.0
Rondônia,3º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",148.0
Rondônia,3º trimestre 2018,Outros serviços,29.0
Rondônia,3º trimestre 2018,Serviços domésticos,43.0
Rondônia,3º trimestre 2018,Atividades mal definidas,0.0
Rondônia,4º trimestre 2018,"Agricultura, pecuária, produção florestal, pesca e aquicultura",167.0
Rondônia,4º trimestre 2018,Indústria geral,72.0
Rondônia,4º trimestre 2018,Indústria de transformação,64.0
Rondônia,4º trimestre 2018,Construção,58.0
Rondônia,4º trimestre 2018,"Comércio, reparação de veículos automotores e motocicletas",156.0
Rondônia,4º trimestre 2018,"Transporte, armazenagem e correio",39.0
Rondônia,4º trimestre 2018,Alojamento e alimentação,42.0
Rondônia,4º trimestre 2018,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",47.0
Rondônia,4º trimestre 2018,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",143.0
Rondônia,4º trimestre 2018,Outros serviços,30.0
Rondônia,4º trimestre 2018,Serviços domésticos,42.0
Rondônia,4º trimestre 2018,Atividades mal definidas,0.0
Rondônia,1º trimestre 2019,"Agricultura, pecuária, produção florestal, pesca e aquicultura",178.0
Rondônia,1º trimestre 2019,Indústria geral,75.0
Rondônia,1º trimestre 2019,Indústria de transformação,57.0
Rondônia,1º trimestre 2019,Construção,57.0
Rondônia,1º trimestre 2019,"Comércio, reparação de veículos automotores e motocicletas",150.0
Rondônia,1º trimestre 2019,"Transporte, armazenagem e correio",34.0
Rondônia,1º trimestre 2019,Alojamento e alimentação,37.0
Rondônia,1º trimestre 2019,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",49.0
Rondônia,1º trimestre 2019,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",138.0
Rondônia,1º trimestre 2019,Outros serviços,33.0
Rondônia,1º trimestre 2019,Serviços domésticos,40.0
Rondônia,1º trimestre 2019,Atividades mal definidas,0.0
Rondônia,2º trimestre 2019,"Agricultura, pecuária, produção florestal, pesca e aquicultura",179.0
Rondônia,2º trimestre 2019,Indústria geral,66.0
Rondônia,2º trimestre 2019,Indústria de transformação,56.0
Rondônia,2º trimestre 2019,Construção,67.0
Rondônia,2º trimestre 2019,"Comércio, reparação de veículos automotores e motocicletas",154.0
Rondônia,2º trimestre 2019,"Transporte, armazenagem e correio",33.0
Rondônia,2º trimestre 2019,Alojamento e alimentação,36.0
Rondônia,2º trimestre 2019,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",58.0
Rondônia,2º trimestre 2019,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",138.0
Rondônia,2º trimestre 2019,Outros serviços,38.0
Rondônia,2º trimestre 2019,Serviços domésticos,40.0
Rondônia,2º trimestre 2019,Atividades mal definidas,0.0
Rondônia,3º trimestre 2019,"Agricultura, pecuária, produção florestal, pesca e aquicultura",172.0
Rondônia,3º trimestre 2019,Indústria geral,63.0
Rondônia,3º trimestre 2019,Indústria de transformação,54.0
Rondônia,3º trimestre 2019,Construção,58.0
Rondônia,3º trimestre 2019,"Comércio, reparação de veículos automotores e motocicletas",152.0
Rondônia,3º trimestre 2019,"Transporte, armazenagem e correio",36.0
Rondônia,3º trimestre 2019,Alojamento e alimentação,40.0
Rondônia,3º trimestre 2019,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",53.0
Rondônia,3º trimestre 2019,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",159.0
Rondônia,3º trimestre 2019,Outros serviços,34.0
Rondônia,3º trimestre 2019,Serviços domésticos,45.0
Rondônia,3º trimestre 2019,Atividades mal definidas,0.0
Rondônia,4º trimestre 2019,"Agricultura, pecuária, produção florestal, pesca e aquicultura",160.0
Rondônia,4º trimestre 2019,Indústria geral,74.0
Rondônia,4º trimestre 2019,Indústria de transformação,57.0
Rondônia,4º trimestre 2019,Construção,61.0
Rondônia,4º trimestre 2019,"Comércio, reparação de veículos automotores e motocicletas",157.0
Rondônia,4º trimestre 2019,"Transporte, armazenagem e correio",34.0
Rondônia,4º trimestre 2019,Alojamento e alimentação,39.0
Rondônia,4º trimestre 2019,"Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas",61.0
Rondônia,4º trimestre 2019,"Administração pública, defesa, seguridade social, educação, saúde humana e serviços sociais",153.0
Rondônia,4º trimestre 2019,Outros serviços,36.0
Rondônia,4º trimestre 2019,Serviços domésticos,36.0
Rondônia,4º trimestre 2019,Atividades mal definidas,1.0
Rondônia,1º trimestre 2020,"Agricultura, pecuária, produção florestal, pesca e aquicultura",161.0
Rondônia,1º trimestre 2020,Indústria geral,67.0
Rondônia,1º trimestre 2020,Indústria de transformação,52.0
Rondônia,1º trimestre 2020,Construção,59.0
