municipio,trimestre,Grupo,quantidade de idade
Porto Velho (RO),2º trimestre 2017,18 a 24 anos,70.0
Porto Velho (RO),2º trimestre 2017,25 a 39 anos,139.0
Porto Velho (RO),2º trimestre 2017,40 a 59 anos,109.0
Porto Velho (RO),2º trimestre 2017,60 anos ou mais,40.0
Porto Velho (RO),3º trimestre 2017,14 a 17 anos,28.0
Porto Velho (RO),3º trimestre 2017,18 a 24 anos,70.0
Porto Velho (RO),3º trimestre 2017,25 a 39 anos,139.0
Porto Velho (RO),3º trimestre 2017,40 a 59 anos,111.0
Porto Velho (RO),3º trimestre 2017,60 anos ou mais,41.0
Porto Velho (RO),4º trimestre 2017,14 a 17 anos,29.0
Porto Velho (RO),4º trimestre 2017,18 a 24 anos,71.0
Porto Velho (RO),4º trimestre 2017,25 a 39 anos,134.0
Porto Velho (RO),4º trimestre 2017,40 a 59 anos,116.0
Porto Velho (RO),4º trimestre 2017,60 anos ou mais,44.0
Porto Velho (RO),1º trimestre 2018,14 a 17 anos,28.0
Porto Velho (RO),1º trimestre 2018,18 a 24 anos,68.0
Porto Velho (RO),1º trimestre 2018,25 a 39 anos,139.0
Porto Velho (RO),1º trimestre 2018,40 a 59 anos,119.0
Porto Velho (RO),1º trimestre 2018,60 anos ou mais,43.0
Porto Velho (RO),2º trimestre 2018,14 a 17 anos,30.0
Porto Velho (RO),2º trimestre 2018,18 a 24 anos,64.0
Porto Velho (RO),2º trimestre 2018,25 a 39 anos,142.0
Porto Velho (RO),2º trimestre 2018,40 a 59 anos,120.0
Porto Velho (RO),2º trimestre 2018,60 anos ou mais,43.0
Porto Velho (RO),3º trimestre 2018,14 a 17 anos,32.0
Porto Velho (RO),3º trimestre 2018,18 a 24 anos,65.0
Porto Velho (RO),3º trimestre 2018,25 a 39 anos,139.0
Porto Velho (RO),3º trimestre 2018,40 a 59 anos,122.0
Porto Velho (RO),3º trimestre 2018,60 anos ou mais,46.0
Porto Velho (RO),4º trimestre 2018,14 a 17 anos,29.0
Porto Velho (RO),4º trimestre 2018,18 a 24 anos,69.0
Porto Velho (RO),4º trimestre 2018,25 a 39 anos,143.0
Porto Velho (RO),4º trimestre 2018,40 a 59 anos,120.0
Porto Velho (RO),4º trimestre 2018,60 anos ou mais,47.0
Porto Velho (RO),1º trimestre 2019,14 a 17 anos,30.0
Porto Velho (RO),1º trimestre 2019,18 a 24 anos,72.0
Porto Velho (RO),1º trimestre 2019,25 a 39 anos,143.0
Porto Velho (RO),1º trimestre 2019,40 a 59 anos,119.0
Porto Velho (RO),1º trimestre 2019,60 anos ou mais,50.0
Porto Velho (RO),2º trimestre 2019,14 a 17 anos,31.0
Porto Velho (RO),2º trimestre 2019,18 a 24 anos,78.0
Porto Velho (RO),2º trimestre 2019,25 a 39 anos,129.0
Porto Velho (RO),2º trimestre 2019,40 a 59 anos,127.0
Porto Velho (RO),2º trimestre 2019,60 anos ou mais,55.0
Porto Velho (RO),3º trimestre 2019,14 a 17 anos,36.0
Porto Velho (RO),3º trimestre 2019,18 a 24 anos,73.0
Porto Velho (RO),3º trimestre 2019,25 a 39 anos,135.0
Porto Velho (RO),3º trimestre 2019,40 a 59 anos,122.0
Porto Velho (RO),3º trimestre 2019,60 anos ou mais,55.0
Porto Velho (RO),4º trimestre 2019,14 a 17 anos,34.0
Porto Velho (RO),4º trimestre 2019,18 a 24 anos,69.0
Porto Velho (RO),4º trimestre 2019,25 a 39 anos,132.0
Porto Velho (RO),4º trimestre 2019,40 a 59 anos,129.0
Porto Velho (RO),4º trimestre 2019,60 anos ou mais,55.0
Porto Velho (RO),1º trimestre 2020,14 a 17 anos,35.0
Porto Velho (RO),1º trimestre 2020,18 a 24 anos,64.0
Porto Velho (RO),1º trimestre 2020,25 a 39 anos,134.0
Porto Velho (RO),1º trimestre 2020,40 a 59 anos,125.0
Porto Velho (RO),1º trimestre 2020,60 anos ou mais,52.0
Porto Velho (RO),2º trimestre 2020,14 a 17 anos,0.0
Porto Velho (RO),2º trimestre 2020,18 a 24 anos,0.0
Porto Velho (RO),2º trimestre 2020,25 a 39 anos,0.0
Porto Velho (RO),2º trimestre 2020,40 a 59 anos,0.0
Porto Velho (RO),2º trimestre 2020,60 anos ou mais,0.0
Porto Velho (RO),3º trimestre 2020,14 a 17 anos,0.0
Porto Velho (RO),3º trimestre 2020,18 a 24 anos,0.0
Porto Velho (RO),3º trimestre 2020,25 a 39 anos,0.0
Porto Velho (RO),3º trimestre 2020,40 a 59 anos,0.0
Porto Velho (RO),3º trimestre 2020,60 anos ou mais,0.0
Porto Velho (RO),4º trimestre 2020,14 a 17 anos,0.0
Porto Velho (RO),4º trimestre 2020,18 a 24 anos,0.0
Porto Velho (RO),4º trimestre 2020,25 a 39 anos,0.0
Porto Velho (RO),4º trimestre 2020,40 a 59 anos,0.0
Porto Velho (RO),4º trimestre 2020,60 anos ou mais,0.0
Porto Velho (RO),1º trimestre 2021,14 a 17 anos,0.0
Porto Velho (RO),1º trimestre 2021,18 a 24 anos,0.0
Porto Velho (RO),1º trimestre 2021,25 a 39 anos,0.0
Porto Velho (RO),1º trimestre 2021,40 a 59 anos,0.0
Porto Velho (RO),1º trimestre 2021,60 anos ou mais,0.0
Porto Velho (RO),2º trimestre 2021,14 a 17 anos,0.0
Porto Velho (RO),2º trimestre 2021,18 a 24 anos,0.0
Porto Velho (RO),2º trimestre 2021,25 a 39 anos,0.0
Porto Velho (RO),2º trimestre 2021,40 a 59 anos,0.0
Porto Velho (RO),2º trimestre 2021,60 anos ou mais,0.0
Porto Velho (RO),3º trimestre 2021,14 a 17 anos,0.0
Porto Velho (RO),3º trimestre 2021,18 a 24 anos,0.0
Porto Velho (RO),3º trimestre 2021,25 a 39 anos,0.0
Porto Velho (RO),3º trimestre 2021,40 a 59 anos,0.0
Porto Velho (RO),3º trimestre 2021,60 anos ou mais,0.0
Porto Velho (RO),4º trimestre 2021,14 a 17 anos,0.0
Porto Velho (RO),4º trimestre 2021,18 a 24 anos,0.0
Porto Velho (RO),4º trimestre 2021,25 a 39 anos,0.0
Porto Velho (RO),4º trimestre 2021,40 a 59 anos,0.0
Porto Velho (RO),4º trimestre 2021,60 anos ou mais,0.0
Porto Velho (RO),1º trimestre 2022,14 a 17 anos,0.0
Porto Velho (RO),1º trimestre 2022,18 a 24 anos,0.0
Porto Velho (RO),1º trimestre 2022,25 a 39 anos,0.0
Porto Velho (RO),1º trimestre 2022,40 a 59 anos,0.0
Porto Velho (RO),1º trimestre 2022,60 anos ou mais,0.0
Porto Velho (RO),2º trimestre 2022,14 a 17 anos,32.0
Porto Velho (RO),2º trimestre 2022,18 a 24 anos,72.0
Porto Velho (RO),2º trimestre 2022,25 a 39 anos,137.0
Porto Velho (RO),2º trimestre 2022,40 a 59 anos,138.0
Porto Velho (RO),2º trimestre 2022,60 anos ou mais,62.0
Porto Velho (RO),3º trimestre 2022,14 a 17 anos,32.0
Porto Velho (RO),3º trimestre 2022,18 a 24 anos,67.0
Porto Velho (RO),3º trimestre 2022,25 a 39 anos,141.0
Porto Velho (RO),3º trimestre 2022,40 a 59 anos,141.0
Porto Velho (RO),3º trimestre 2022,60 anos ou mais,64.0
Porto Velho (RO),4º trimestre 2022,14 a 17 anos,33.0
Porto Velho (RO),4º trimestre 2022,18 a 24 anos,68.0
Porto Velho (RO),4º trimestre 2022,25 a 39 anos,140.0
Porto Velho (RO),4º trimestre 2022,40 a 59 anos,142.0
Porto Velho (RO),4º trimestre 2022,60 anos ou mais,66.0
Porto Velho (RO),1º trimestre 2023,14 a 17 anos,34.0
Porto Velho (RO),1º trimestre 2023,18 a 24 anos,60.0
Porto Velho (RO),1º trimestre 2023,25 a 39 anos,142.0
Porto Velho (RO),1º trimestre 2023,40 a 59 anos,145.0
Porto Velho (RO),1º trimestre 2023,60 anos ou mais,75.0
Porto Velho (RO),2º trimestre 2023,14 a 17 anos,34.0
Porto Velho (RO),2º trimestre 2023,18 a 24 anos,60.0
Porto Velho (RO),2º trimestre 2023,25 a 39 anos,140.0
Porto Velho (RO),2º trimestre 2023,40 a 59 anos,145.0
Porto Velho (RO),2º trimestre 2023,60 anos ou mais,79.0
Porto Velho (RO),3º trimestre 2023,14 a 17 anos,33.0
Porto Velho (RO),3º trimestre 2023,18 a 24 anos,59.0
Porto Velho (RO),3º trimestre 2023,25 a 39 anos,147.0
Porto Velho (RO),3º trimestre 2023,40 a 59 anos,145.0
Porto Velho (RO),3º trimestre 2023,60 anos ou mais,80.0
Porto Velho (RO),4º trimestre 2023,14 a 17 anos,32.0
Porto Velho (RO),4º trimestre 2023,18 a 24 anos,56.0
Porto Velho (RO),4º trimestre 2023,25 a 39 anos,153.0
Porto Velho (RO),4º trimestre 2023,40 a 59 anos,155.0
Porto Velho (RO),4º trimestre 2023,60 anos ou mais,83.0
Porto Velho (RO),1º trimestre 2024,14 a 17 anos,32.0
Porto Velho (RO),1º trimestre 2024,18 a 24 anos,64.0
Porto Velho (RO),1º trimestre 2024,25 a 39 anos,149.0
Porto Velho (RO),1º trimestre 2024,40 a 59 anos,149.0
Porto Velho (RO),1º trimestre 2024,60 anos ou mais,90.0
Porto Velho (RO),2º trimestre 2024,14 a 17 anos,37.0
Porto Velho (RO),2º trimestre 2024,18 a 24 anos,65.0
Porto Velho (RO),2º trimestre 2024,25 a 39 anos,144.0
Porto Velho (RO),2º trimestre 2024,40 a 59 anos,148.0
Porto Velho (RO),2º trimestre 2024,60 anos ou mais,86.0
Porto Velho (RO),3º trimestre 2024,14 a 17 anos,34.0
Porto Velho (RO),3º trimestre 2024,18 a 24 anos,67.0
Porto Velho (RO),3º trimestre 2024,25 a 39 anos,143.0
Porto Velho (RO),3º trimestre 2024,40 a 59 anos,150.0
Porto Velho (RO),3º trimestre 2024,60 anos ou mais,90.0
Porto Velho (RO),4º trimestre 2024,14 a 17 anos,38.0
Porto Velho (RO),4º trimestre 2024,18 a 24 anos,61.0
Porto Velho (RO),4º trimestre 2024,25 a 39 anos,142.0
Porto Velho (RO),4º trimestre 2024,40 a 59 anos,152.0
Porto Velho (RO),4º trimestre 2024,60 anos ou mais,89.0
Rio Branco (AC),1º trimestre 2012,14 a 17 anos,27.0
Rio Branco (AC),1º trimestre 2012,18 a 24 anos,50.0
Rio Branco (AC),1º trimestre 2012,25 a 39 anos,98.0
Rio Branco (AC),1º trimestre 2012,40 a 59 anos,66.0
Rio Branco (AC),1º trimestre 2012,60 anos ou mais,24.0
Rio Branco (AC),2º trimestre 2012,14 a 17 anos,29.0
Rio Branco (AC),2º trimestre 2012,18 a 24 anos,48.0
Rio Branco (AC),2º trimestre 2012,25 a 39 anos,98.0
Rio Branco (AC),2º trimestre 2012,40 a 59 anos,65.0
Rio Branco (AC),2º trimestre 2012,60 anos ou mais,25.0
Rio Branco (AC),3º trimestre 2012,14 a 17 anos,27.0
Rio Branco (AC),3º trimestre 2012,18 a 24 anos,51.0
Rio Branco (AC),3º trimestre 2012,25 a 39 anos,96.0
Rio Branco (AC),3º trimestre 2012,40 a 59 anos,69.0
Rio Branco (AC),3º trimestre 2012,60 anos ou mais,26.0
Rio Branco (AC),4º trimestre 2012,14 a 17 anos,28.0
Rio Branco (AC),4º trimestre 2012,18 a 24 anos,53.0
Rio Branco (AC),4º trimestre 2012,25 a 39 anos,93.0
Rio Branco (AC),4º trimestre 2012,40 a 59 anos,68.0
Rio Branco (AC),4º trimestre 2012,60 anos ou mais,26.0
Rio Branco (AC),1º trimestre 2013,14 a 17 anos,30.0
Rio Branco (AC),1º trimestre 2013,18 a 24 anos,54.0
Rio Branco (AC),1º trimestre 2013,25 a 39 anos,92.0
Rio Branco (AC),1º trimestre 2013,40 a 59 anos,70.0
Rio Branco (AC),1º trimestre 2013,60 anos ou mais,24.0
Rio Branco (AC),2º trimestre 2013,14 a 17 anos,31.0
Rio Branco (AC),2º trimestre 2013,18 a 24 anos,55.0
Rio Branco (AC),2º trimestre 2013,25 a 39 anos,95.0
Rio Branco (AC),2º trimestre 2013,40 a 59 anos,68.0
Rio Branco (AC),2º trimestre 2013,60 anos ou mais,23.0
Rio Branco (AC),3º trimestre 2013,14 a 17 anos,30.0
Rio Branco (AC),3º trimestre 2013,18 a 24 anos,55.0
Rio Branco (AC),3º trimestre 2013,25 a 39 anos,95.0
Rio Branco (AC),3º trimestre 2013,40 a 59 anos,71.0
Rio Branco (AC),3º trimestre 2013,60 anos ou mais,23.0
Rio Branco (AC),4º trimestre 2013,14 a 17 anos,29.0
Rio Branco (AC),4º trimestre 2013,18 a 24 anos,53.0
Rio Branco (AC),4º trimestre 2013,25 a 39 anos,97.0
Rio Branco (AC),4º trimestre 2013,40 a 59 anos,70.0
Rio Branco (AC),4º trimestre 2013,60 anos ou mais,26.0
Rio Branco (AC),1º trimestre 2014,14 a 17 anos,30.0
Rio Branco (AC),1º trimestre 2014,18 a 24 anos,55.0
Rio Branco (AC),1º trimestre 2014,25 a 39 anos,97.0
Rio Branco (AC),1º trimestre 2014,40 a 59 anos,71.0
Rio Branco (AC),1º trimestre 2014,60 anos ou mais,25.0
Rio Branco (AC),2º trimestre 2014,14 a 17 anos,29.0
Rio Branco (AC),2º trimestre 2014,18 a 24 anos,57.0
Rio Branco (AC),2º trimestre 2014,25 a 39 anos,98.0
Rio Branco (AC),2º trimestre 2014,40 a 59 anos,69.0
Rio Branco (AC),2º trimestre 2014,60 anos ou mais,24.0
Rio Branco (AC),3º trimestre 2014,14 a 17 anos,28.0
Rio Branco (AC),3º trimestre 2014,18 a 24 anos,55.0
Rio Branco (AC),3º trimestre 2014,25 a 39 anos,97.0
Rio Branco (AC),3º trimestre 2014,40 a 59 anos,74.0
Rio Branco (AC),3º trimestre 2014,60 anos ou mais,25.0
Rio Branco (AC),4º trimestre 2014,14 a 17 anos,29.0
Rio Branco (AC),4º trimestre 2014,18 a 24 anos,55.0
Rio Branco (AC),4º trimestre 2014,25 a 39 anos,98.0
Rio Branco (AC),4º trimestre 2014,40 a 59 anos,74.0
Rio Branco (AC),4º trimestre 2014,60 anos ou mais,26.0
Rio Branco (AC),1º trimestre 2015,14 a 17 anos,30.0
Rio Branco (AC),1º trimestre 2015,18 a 24 anos,52.0
Rio Branco (AC),1º trimestre 2015,25 a 39 anos,100.0
Rio Branco (AC),1º trimestre 2015,40 a 59 anos,73.0
Rio Branco (AC),1º trimestre 2015,60 anos ou mais,24.0
Rio Branco (AC),2º trimestre 2015,14 a 17 anos,31.0
Rio Branco (AC),2º trimestre 2015,18 a 24 anos,50.0
Rio Branco (AC),2º trimestre 2015,25 a 39 anos,100.0
Rio Branco (AC),2º trimestre 2015,40 a 59 anos,73.0
Rio Branco (AC),2º trimestre 2015,60 anos ou mais,26.0
Rio Branco (AC),3º trimestre 2015,14 a 17 anos,32.0
Rio Branco (AC),3º trimestre 2015,18 a 24 anos,50.0
Rio Branco (AC),3º trimestre 2015,25 a 39 anos,101.0
Rio Branco (AC),3º trimestre 2015,40 a 59 anos,73.0
Rio Branco (AC),3º trimestre 2015,60 anos ou mais,27.0
Rio Branco (AC),4º trimestre 2015,14 a 17 anos,32.0
Rio Branco (AC),4º trimestre 2015,18 a 24 anos,51.0
Rio Branco (AC),4º trimestre 2015,25 a 39 anos,102.0
Rio Branco (AC),4º trimestre 2015,40 a 59 anos,74.0
Rio Branco (AC),4º trimestre 2015,60 anos ou mais,29.0
Rio Branco (AC),1º trimestre 2016,14 a 17 anos,31.0
Rio Branco (AC),1º trimestre 2016,18 a 24 anos,50.0
Rio Branco (AC),1º trimestre 2016,25 a 39 anos,103.0
Rio Branco (AC),1º trimestre 2016,40 a 59 anos,74.0
Rio Branco (AC),1º trimestre 2016,60 anos ou mais,29.0
Rio Branco (AC),2º trimestre 2016,14 a 17 anos,31.0
Rio Branco (AC),2º trimestre 2016,18 a 24 anos,53.0
Rio Branco (AC),2º trimestre 2016,25 a 39 anos,103.0
Rio Branco (AC),2º trimestre 2016,40 a 59 anos,73.0
Rio Branco (AC),2º trimestre 2016,60 anos ou mais,30.0
Rio Branco (AC),3º trimestre 2016,14 a 17 anos,33.0
Rio Branco (AC),3º trimestre 2016,18 a 24 anos,55.0
Rio Branco (AC),3º trimestre 2016,25 a 39 anos,103.0
Rio Branco (AC),3º trimestre 2016,40 a 59 anos,74.0
Rio Branco (AC),3º trimestre 2016,60 anos ou mais,30.0
Rio Branco (AC),4º trimestre 2016,14 a 17 anos,34.0
Rio Branco (AC),4º trimestre 2016,18 a 24 anos,57.0
Rio Branco (AC),4º trimestre 2016,25 a 39 anos,100.0
Rio Branco (AC),4º trimestre 2016,40 a 59 anos,78.0
Rio Branco (AC),4º trimestre 2016,60 anos ou mais,31.0
Rio Branco (AC),1º trimestre 2017,14 a 17 anos,34.0
Rio Branco (AC),1º trimestre 2017,18 a 24 anos,56.0
Rio Branco (AC),1º trimestre 2017,25 a 39 anos,99.0
Rio Branco (AC),1º trimestre 2017,40 a 59 anos,83.0
Rio Branco (AC),1º trimestre 2017,60 anos ou mais,33.0
Rio Branco (AC),2º trimestre 2017,14 a 17 anos,32.0
Rio Branco (AC),2º trimestre 2017,18 a 24 anos,57.0
Rio Branco (AC),2º trimestre 2017,25 a 39 anos,100.0
Rio Branco (AC),2º trimestre 2017,40 a 59 anos,82.0
Rio Branco (AC),2º trimestre 2017,60 anos ou mais,33.0
Rio Branco (AC),3º trimestre 2017,14 a 17 anos,29.0
Rio Branco (AC),3º trimestre 2017,18 a 24 anos,58.0
Rio Branco (AC),3º trimestre 2017,25 a 39 anos,101.0
Rio Branco (AC),3º trimestre 2017,40 a 59 anos,81.0
Rio Branco (AC),3º trimestre 2017,60 anos ou mais,33.0
Rio Branco (AC),4º trimestre 2017,14 a 17 anos,29.0
Rio Branco (AC),4º trimestre 2017,18 a 24 anos,55.0
Rio Branco (AC),4º trimestre 2017,25 a 39 anos,103.0
Rio Branco (AC),4º trimestre 2017,40 a 59 anos,81.0
Rio Branco (AC),4º trimestre 2017,60 anos ou mais,35.0
Rio Branco (AC),1º trimestre 2018,14 a 17 anos,28.0
Rio Branco (AC),1º trimestre 2018,18 a 24 anos,55.0
Rio Branco (AC),1º trimestre 2018,25 a 39 anos,104.0
Rio Branco (AC),1º trimestre 2018,40 a 59 anos,84.0
Rio Branco (AC),1º trimestre 2018,60 anos ou mais,37.0
Rio Branco (AC),2º trimestre 2018,14 a 17 anos,28.0
Rio Branco (AC),2º trimestre 2018,18 a 24 anos,55.0
Rio Branco (AC),2º trimestre 2018,25 a 39 anos,104.0
Rio Branco (AC),2º trimestre 2018,40 a 59 anos,84.0
Rio Branco (AC),2º trimestre 2018,60 anos ou mais,37.0
Rio Branco (AC),3º trimestre 2018,14 a 17 anos,27.0
Rio Branco (AC),3º trimestre 2018,18 a 24 anos,53.0
Rio Branco (AC),3º trimestre 2018,25 a 39 anos,106.0
Rio Branco (AC),3º trimestre 2018,40 a 59 anos,86.0
Rio Branco (AC),3º trimestre 2018,60 anos ou mais,37.0
Rio Branco (AC),4º trimestre 2018,14 a 17 anos,25.0
Rio Branco (AC),4º trimestre 2018,18 a 24 anos,54.0
Rio Branco (AC),4º trimestre 2018,25 a 39 anos,108.0
Rio Branco (AC),4º trimestre 2018,40 a 59 anos,90.0
Rio Branco (AC),4º trimestre 2018,60 anos ou mais,37.0
Rio Branco (AC),1º trimestre 2019,14 a 17 anos,26.0
Rio Branco (AC),1º trimestre 2019,18 a 24 anos,54.0
Rio Branco (AC),1º trimestre 2019,25 a 39 anos,106.0
Rio Branco (AC),1º trimestre 2019,40 a 59 anos,92.0
Rio Branco (AC),1º trimestre 2019,60 anos ou mais,38.0
Rio Branco (AC),2º trimestre 2019,14 a 17 anos,30.0
Rio Branco (AC),2º trimestre 2019,18 a 24 anos,54.0
Rio Branco (AC),2º trimestre 2019,25 a 39 anos,103.0
Rio Branco (AC),2º trimestre 2019,40 a 59 anos,88.0
Rio Branco (AC),2º trimestre 2019,60 anos ou mais,39.0
Rio Branco (AC),3º trimestre 2019,14 a 17 anos,29.0
Rio Branco (AC),3º trimestre 2019,18 a 24 anos,56.0
Rio Branco (AC),3º trimestre 2019,25 a 39 anos,101.0
Rio Branco (AC),3º trimestre 2019,40 a 59 anos,88.0
Rio Branco (AC),3º trimestre 2019,60 anos ou mais,39.0
Rio Branco (AC),4º trimestre 2019,14 a 17 anos,28.0
Rio Branco (AC),4º trimestre 2019,18 a 24 anos,52.0
Rio Branco (AC),4º trimestre 2019,25 a 39 anos,103.0
Rio Branco (AC),4º trimestre 2019,40 a 59 anos,89.0
Rio Branco (AC),4º trimestre 2019,60 anos ou mais,44.0
Rio Branco (AC),1º trimestre 2020,14 a 17 anos,30.0
Rio Branco (AC),1º trimestre 2020,18 a 24 anos,53.0
