municipio,trimestre,Sexo,quantidade de gênero
Rio Branco (AC),1º trimestre 2021,Mulheres,0.0
Rio Branco (AC),2º trimestre 2021,Homens,0.0
Rio Branco (AC),2º trimestre 2021,Mulheres,0.0
Rio Branco (AC),3º trimestre 2021,Homens,0.0
Rio Branco (AC),3º trimestre 2021,Mulheres,0.0
Rio Branco (AC),4º trimestre 2021,Homens,0.0
Rio Branco (AC),4º trimestre 2021,Mulheres,0.0
Rio Branco (AC),1º trimestre 2022,Homens,0.0
Rio Branco (AC),1º trimestre 2022,Mulheres,0.0
Rio Branco (AC),2º trimestre 2022,Homens,157.0
Rio Branco (AC),2º trimestre 2022,Mulheres,177.0
Rio Branco (AC),3º trimestre 2022,Homens,154.0
Rio Branco (AC),3º trimestre 2022,Mulheres,174.0
Rio Branco (AC),4º trimestre 2022,Homens,155.0
Rio Branco (AC),4º trimestre 2022,Mulheres,176.0
Rio Branco (AC),1º trimestre 2023,Homens,154.0
Rio Branco (AC),1º trimestre 2023,Mulheres,179.0
Rio Branco (AC),2º trimestre 2023,Homens,154.0
Rio Branco (AC),2º trimestre 2023,Mulheres,180.0
Rio Branco (AC),3º trimestre 2023,Homens,154.0
Rio Branco (AC),3º trimestre 2023,Mulheres,180.0
Rio Branco (AC),4º trimestre 2023,Homens,158.0
Rio Branco (AC),4º trimestre 2023,Mulheres,177.0
Rio Branco (AC),1º trimestre 2024,Homens,161.0
Rio Branco (AC),1º trimestre 2024,Mulheres,177.0
Rio Branco (AC),2º trimestre 2024,Homens,163.0
Rio Branco (AC),2º trimestre 2024,Mulheres,177.0
Rio Branco (AC),3º trimestre 2024,Homens,164.0
Rio Branco (AC),3º trimestre 2024,Mulheres,176.0
Rio Branco (AC),4º trimestre 2024,Homens,166.0
Rio Branco (AC),4º trimestre 2024,Mulheres,176.0
Manaus (AM),1º trimestre 2012,Homens,683.0
Manaus (AM),1º trimestre 2012,Mulheres,729.0
Manaus (AM),2º trimestre 2012,Homens,685.0
Manaus (AM),2º trimestre 2012,Mulheres,733.0
Manaus (AM),3º trimestre 2012,Homens,690.0
Manaus (AM),3º trimestre 2012,Mulheres,740.0
Manaus (AM),4º trimestre 2012,Homens,689.0
Manaus (AM),4º trimestre 2012,Mulheres,749.0
Manaus (AM),1º trimestre 2013,Homens,691.0
Manaus (AM),1º trimestre 2013,Mulheres,751.0
Manaus (AM),2º trimestre 2013,Homens,699.0
Manaus (AM),2º trimestre 2013,Mulheres,752.0
Manaus (AM),3º trimestre 2013,Homens,707.0
Manaus (AM),3º trimestre 2013,Mulheres,760.0
Manaus (AM),4º trimestre 2013,Homens,724.0
Manaus (AM),4º trimestre 2013,Mulheres,746.0
Manaus (AM),1º trimestre 2014,Homens,716.0
Manaus (AM),1º trimestre 2014,Mulheres,751.0
Manaus (AM),2º trimestre 2014,Homens,718.0
Manaus (AM),2º trimestre 2014,Mulheres,760.0
Manaus (AM),3º trimestre 2014,Homens,732.0
Manaus (AM),3º trimestre 2014,Mulheres,757.0
Manaus (AM),4º trimestre 2014,Homens,736.0
Manaus (AM),4º trimestre 2014,Mulheres,765.0
Manaus (AM),1º trimestre 2015,Homens,731.0
Manaus (AM),1º trimestre 2015,Mulheres,776.0
Manaus (AM),2º trimestre 2015,Homens,734.0
Manaus (AM),2º trimestre 2015,Mulheres,777.0
Manaus (AM),3º trimestre 2015,Homens,743.0
Manaus (AM),3º trimestre 2015,Mulheres,791.0
Manaus (AM),4º trimestre 2015,Homens,758.0
Manaus (AM),4º trimestre 2015,Mulheres,789.0
Manaus (AM),1º trimestre 2016,Homens,742.0
Manaus (AM),1º trimestre 2016,Mulheres,799.0
Manaus (AM),2º trimestre 2016,Homens,747.0
Manaus (AM),2º trimestre 2016,Mulheres,813.0
Manaus (AM),3º trimestre 2016,Homens,756.0
Manaus (AM),3º trimestre 2016,Mulheres,817.0
Manaus (AM),4º trimestre 2016,Homens,757.0
Manaus (AM),4º trimestre 2016,Mulheres,818.0
Manaus (AM),1º trimestre 2017,Homens,753.0
Manaus (AM),1º trimestre 2017,Mulheres,823.0
Manaus (AM),2º trimestre 2017,Homens,756.0
Manaus (AM),2º trimestre 2017,Mulheres,830.0
Manaus (AM),3º trimestre 2017,Homens,775.0
Manaus (AM),3º trimestre 2017,Mulheres,836.0
Manaus (AM),4º trimestre 2017,Homens,781.0
Manaus (AM),4º trimestre 2017,Mulheres,847.0
Manaus (AM),1º trimestre 2018,Homens,802.0
Manaus (AM),1º trimestre 2018,Mulheres,865.0
Manaus (AM),2º trimestre 2018,Homens,824.0
Manaus (AM),2º trimestre 2018,Mulheres,854.0
Manaus (AM),3º trimestre 2018,Homens,823.0
Manaus (AM),3º trimestre 2018,Mulheres,871.0
Manaus (AM),4º trimestre 2018,Homens,828.0
Manaus (AM),4º trimestre 2018,Mulheres,867.0
Manaus (AM),1º trimestre 2019,Homens,823.0
Manaus (AM),1º trimestre 2019,Mulheres,881.0
Manaus (AM),2º trimestre 2019,Homens,815.0
Manaus (AM),2º trimestre 2019,Mulheres,874.0
Manaus (AM),3º trimestre 2019,Homens,817.0
Manaus (AM),3º trimestre 2019,Mulheres,876.0
Manaus (AM),4º trimestre 2019,Homens,829.0
Manaus (AM),4º trimestre 2019,Mulheres,885.0
Manaus (AM),1º trimestre 2020,Homens,825.0
Manaus (AM),1º trimestre 2020,Mulheres,897.0
Manaus (AM),2º trimestre 2020,Homens,0.0
Manaus (AM),2º trimestre 2020,Mulheres,0.0
Manaus (AM),3º trimestre 2020,Homens,0.0
Manaus (AM),3º trimestre 2020,Mulheres,0.0
Manaus (AM),4º trimestre 2020,Homens,0.0
Manaus (AM),4º trimestre 2020,Mulheres,0.0
Manaus (AM),1º trimestre 2021,Homens,0.0
Manaus (AM),1º trimestre 2021,Mulheres,0.0
Manaus (AM),2º trimestre 2021,Homens,0.0
Manaus (AM),2º trimestre 2021,Mulheres,0.0
Manaus (AM),3º trimestre 2021,Homens,0.0
Manaus (AM),3º trimestre 2021,Mulheres,0.0
Manaus (AM),4º trimestre 2021,Homens,0.0
Manaus (AM),4º trimestre 2021,Mulheres,0.0
Manaus (AM),1º trimestre 2022,Homens,0.0
Manaus (AM),1º trimestre 2022,Mulheres,0.0
Manaus (AM),2º trimestre 2022,Homens,853.0
Manaus (AM),2º trimestre 2022,Mulheres,906.0
Manaus (AM),3º trimestre 2022,Homens,846.0
Manaus (AM),3º trimestre 2022,Mulheres,914.0
Manaus (AM),4º trimestre 2022,Homens,845.0
Manaus (AM),4º trimestre 2022,Mulheres,925.0
Manaus (AM),1º trimestre 2023,Homens,844.0
Manaus (AM),1º trimestre 2023,Mulheres,932.0
Manaus (AM),2º trimestre 2023,Homens,858.0
Manaus (AM),2º trimestre 2023,Mulheres,923.0
Manaus (AM),3º trimestre 2023,Homens,876.0
Manaus (AM),3º trimestre 2023,Mulheres,934.0
Manaus (AM),4º trimestre 2023,Homens,892.0
Manaus (AM),4º trimestre 2023,Mulheres,945.0
Manaus (AM),1º trimestre 2024,Homens,900.0
Manaus (AM),1º trimestre 2024,Mulheres,939.0
Manaus (AM),2º trimestre 2024,Homens,901.0
Manaus (AM),2º trimestre 2024,Mulheres,962.0
Manaus (AM),3º trimestre 2024,Homens,910.0
Manaus (AM),3º trimestre 2024,Mulheres,983.0
Manaus (AM),4º trimestre 2024,Homens,906.0
Manaus (AM),4º trimestre 2024,Mulheres,986.0
Boa Vista (RR),1º trimestre 2012,Homens,102.0
Boa Vista (RR),1º trimestre 2012,Mulheres,111.0
Boa Vista (RR),2º trimestre 2012,Homens,104.0
Boa Vista (RR),2º trimestre 2012,Mulheres,110.0
Boa Vista (RR),3º trimestre 2012,Homens,105.0
Boa Vista (RR),3º trimestre 2012,Mulheres,110.0
Boa Vista (RR),4º trimestre 2012,Homens,106.0
Boa Vista (RR),4º trimestre 2012,Mulheres,113.0
Boa Vista (RR),1º trimestre 2013,Homens,107.0
Boa Vista (RR),1º trimestre 2013,Mulheres,113.0
Boa Vista (RR),2º trimestre 2013,Homens,107.0
Boa Vista (RR),2º trimestre 2013,Mulheres,115.0
Boa Vista (RR),3º trimestre 2013,Homens,111.0
Boa Vista (RR),3º trimestre 2013,Mulheres,112.0
Boa Vista (RR),4º trimestre 2013,Homens,109.0
Boa Vista (RR),4º trimestre 2013,Mulheres,113.0
Boa Vista (RR),1º trimestre 2014,Homens,113.0
Boa Vista (RR),1º trimestre 2014,Mulheres,114.0
Boa Vista (RR),2º trimestre 2014,Homens,112.0
Boa Vista (RR),2º trimestre 2014,Mulheres,118.0
Boa Vista (RR),3º trimestre 2014,Homens,115.0
Boa Vista (RR),3º trimestre 2014,Mulheres,118.0
Boa Vista (RR),4º trimestre 2014,Homens,116.0
Boa Vista (RR),4º trimestre 2014,Mulheres,122.0
Boa Vista (RR),1º trimestre 2015,Homens,117.0
Boa Vista (RR),1º trimestre 2015,Mulheres,123.0
Boa Vista (RR),2º trimestre 2015,Homens,119.0
Boa Vista (RR),2º trimestre 2015,Mulheres,124.0
Boa Vista (RR),3º trimestre 2015,Homens,120.0
Boa Vista (RR),3º trimestre 2015,Mulheres,125.0
Boa Vista (RR),4º trimestre 2015,Homens,123.0
Boa Vista (RR),4º trimestre 2015,Mulheres,127.0
Boa Vista (RR),1º trimestre 2016,Homens,123.0
Boa Vista (RR),1º trimestre 2016,Mulheres,126.0
Boa Vista (RR),2º trimestre 2016,Homens,122.0
Boa Vista (RR),2º trimestre 2016,Mulheres,128.0
Boa Vista (RR),3º trimestre 2016,Homens,124.0
Boa Vista (RR),3º trimestre 2016,Mulheres,128.0
Boa Vista (RR),4º trimestre 2016,Homens,127.0
Boa Vista (RR),4º trimestre 2016,Mulheres,129.0
Boa Vista (RR),1º trimestre 2017,Homens,126.0
Boa Vista (RR),1º trimestre 2017,Mulheres,135.0
Boa Vista (RR),2º trimestre 2017,Homens,126.0
Boa Vista (RR),2º trimestre 2017,Mulheres,136.0
Boa Vista (RR),3º trimestre 2017,Homens,129.0
Boa Vista (RR),3º trimestre 2017,Mulheres,133.0
Boa Vista (RR),4º trimestre 2017,Homens,128.0
Boa Vista (RR),4º trimestre 2017,Mulheres,136.0
Boa Vista (RR),1º trimestre 2018,Homens,132.0
Boa Vista (RR),1º trimestre 2018,Mulheres,141.0
Boa Vista (RR),2º trimestre 2018,Homens,136.0
Boa Vista (RR),2º trimestre 2018,Mulheres,143.0
Boa Vista (RR),3º trimestre 2018,Homens,139.0
Boa Vista (RR),3º trimestre 2018,Mulheres,144.0
Boa Vista (RR),4º trimestre 2018,Homens,141.0
Boa Vista (RR),4º trimestre 2018,Mulheres,147.0
Boa Vista (RR),1º trimestre 2019,Homens,138.0
Boa Vista (RR),1º trimestre 2019,Mulheres,145.0
Boa Vista (RR),2º trimestre 2019,Homens,140.0
Boa Vista (RR),2º trimestre 2019,Mulheres,142.0
Boa Vista (RR),3º trimestre 2019,Homens,140.0
Boa Vista (RR),3º trimestre 2019,Mulheres,144.0
Boa Vista (RR),4º trimestre 2019,Homens,139.0
Boa Vista (RR),4º trimestre 2019,Mulheres,147.0
Boa Vista (RR),1º trimestre 2020,Homens,139.0
Boa Vista (RR),1º trimestre 2020,Mulheres,148.0
Boa Vista (RR),2º trimestre 2020,Homens,0.0
Boa Vista (RR),2º trimestre 2020,Mulheres,0.0
Boa Vista (RR),3º trimestre 2020,Homens,0.0
Boa Vista (RR),3º trimestre 2020,Mulheres,0.0
Boa Vista (RR),4º trimestre 2020,Homens,0.0
Boa Vista (RR),4º trimestre 2020,Mulheres,0.0
Boa Vista (RR),1º trimestre 2021,Homens,0.0
Boa Vista (RR),1º trimestre 2021,Mulheres,0.0
Boa Vista (RR),2º trimestre 2021,Homens,0.0
Boa Vista (RR),2º trimestre 2021,Mulheres,0.0
Boa Vista (RR),3º trimestre 2021,Homens,0.0
Boa Vista (RR),3º trimestre 2021,Mulheres,0.0
Boa Vista (RR),4º trimestre 2021,Homens,0.0
Boa Vista (RR),4º trimestre 2021,Mulheres,0.0
Boa Vista (RR),1º trimestre 2022,Homens,0.0
Boa Vista (RR),1º trimestre 2022,Mulheres,0.0
Boa Vista (RR),2º trimestre 2022,Homens,151.0
Boa Vista (RR),2º trimestre 2022,Mulheres,166.0
Boa Vista (RR),3º trimestre 2022,Homens,155.0
Boa Vista (RR),3º trimestre 2022,Mulheres,164.0
Boa Vista (RR),4º trimestre 2022,Homens,152.0
Boa Vista (RR),4º trimestre 2022,Mulheres,167.0
Boa Vista (RR),1º trimestre 2023,Homens,158.0
Boa Vista (RR),1º trimestre 2023,Mulheres,167.0
Boa Vista (RR),2º trimestre 2023,Homens,157.0
Boa Vista (RR),2º trimestre 2023,Mulheres,162.0
Boa Vista (RR),3º trimestre 2023,Homens,163.0
Boa Vista (RR),3º trimestre 2023,Mulheres,165.0
Boa Vista (RR),4º trimestre 2023,Homens,162.0
Boa Vista (RR),4º trimestre 2023,Mulheres,167.0
Boa Vista (RR),1º trimestre 2024,Homens,162.0
Boa Vista (RR),1º trimestre 2024,Mulheres,169.0
Boa Vista (RR),2º trimestre 2024,Homens,163.0
Boa Vista (RR),2º trimestre 2024,Mulheres,170.0
Boa Vista (RR),3º trimestre 2024,Homens,165.0
Boa Vista (RR),3º trimestre 2024,Mulheres,171.0
Boa Vista (RR),4º trimestre 2024,Homens,164.0
Boa Vista (RR),4º trimestre 2024,Mulheres,174.0
Belém (PA),1º trimestre 2012,Homens,520.0
Belém (PA),1º trimestre 2012,Mulheres,592.0
Belém (PA),2º trimestre 2012,Homens,519.0
Belém (PA),2º trimestre 2012,Mulheres,595.0
Belém (PA),3º trimestre 2012,Homens,511.0
Belém (PA),3º trimestre 2012,Mulheres,595.0
Belém (PA),4º trimestre 2012,Homens,516.0
Belém (PA),4º trimestre 2012,Mulheres,592.0
Belém (PA),1º trimestre 2013,Homens,520.0
Belém (PA),1º trimestre 2013,Mulheres,588.0
Belém (PA),2º trimestre 2013,Homens,515.0
Belém (PA),2º trimestre 2013,Mulheres,600.0
Belém (PA),3º trimestre 2013,Homens,529.0
Belém (PA),3º trimestre 2013,Mulheres,604.0
Belém (PA),4º trimestre 2013,Homens,531.0
Belém (PA),4º trimestre 2013,Mulheres,603.0
Belém (PA),1º trimestre 2014,Homens,544.0
Belém (PA),1º trimestre 2014,Mulheres,614.0
Belém (PA),2º trimestre 2014,Homens,541.0
Belém (PA),2º trimestre 2014,Mulheres,620.0
Belém (PA),3º trimestre 2014,Homens,543.0
Belém (PA),3º trimestre 2014,Mulheres,623.0
Belém (PA),4º trimestre 2014,Homens,538.0
Belém (PA),4º trimestre 2014,Mulheres,629.0
Belém (PA),1º trimestre 2015,Homens,531.0
Belém (PA),1º trimestre 2015,Mulheres,625.0
Belém (PA),2º trimestre 2015,Homens,521.0
Belém (PA),2º trimestre 2015,Mulheres,633.0
Belém (PA),3º trimestre 2015,Homens,527.0
Belém (PA),3º trimestre 2015,Mulheres,632.0
Belém (PA),4º trimestre 2015,Homens,526.0
Belém (PA),4º trimestre 2015,Mulheres,633.0
Belém (PA),1º trimestre 2016,Homens,530.0
Belém (PA),1º trimestre 2016,Mulheres,626.0
Belém (PA),2º trimestre 2016,Homens,541.0
Belém (PA),2º trimestre 2016,Mulheres,626.0
Belém (PA),3º trimestre 2016,Homens,543.0
Belém (PA),3º trimestre 2016,Mulheres,636.0
Belém (PA),4º trimestre 2016,Homens,549.0
Belém (PA),4º trimestre 2016,Mulheres,648.0
Belém (PA),1º trimestre 2017,Homens,548.0
Belém (PA),1º trimestre 2017,Mulheres,646.0
Belém (PA),2º trimestre 2017,Homens,546.0
Belém (PA),2º trimestre 2017,Mulheres,650.0
Belém (PA),3º trimestre 2017,Homens,556.0
Belém (PA),3º trimestre 2017,Mulheres,649.0
Belém (PA),4º trimestre 2017,Homens,557.0
Belém (PA),4º trimestre 2017,Mulheres,645.0
Belém (PA),1º trimestre 2018,Homens,557.0
Belém (PA),1º trimestre 2018,Mulheres,640.0
Belém (PA),2º trimestre 2018,Homens,561.0
Belém (PA),2º trimestre 2018,Mulheres,642.0
Belém (PA),3º trimestre 2018,Homens,563.0
Belém (PA),3º trimestre 2018,Mulheres,643.0
Belém (PA),4º trimestre 2018,Homens,565.0
Belém (PA),4º trimestre 2018,Mulheres,641.0
Belém (PA),1º trimestre 2019,Homens,564.0
Belém (PA),1º trimestre 2019,Mulheres,645.0
Belém (PA),2º trimestre 2019,Homens,567.0
Belém (PA),2º trimestre 2019,Mulheres,641.0
Belém (PA),3º trimestre 2019,Homens,574.0
Belém (PA),3º trimestre 2019,Mulheres,641.0
Belém (PA),4º trimestre 2019,Homens,577.0
Belém (PA),4º trimestre 2019,Mulheres,645.0
Belém (PA),1º trimestre 2020,Homens,571.0
Belém (PA),1º trimestre 2020,Mulheres,647.0
Belém (PA),2º trimestre 2020,Homens,0.0
Belém (PA),2º trimestre 2020,Mulheres,0.0
Belém (PA),3º trimestre 2020,Homens,0.0
Belém (PA),3º trimestre 2020,Mulheres,0.0
Belém (PA),4º trimestre 2020,Homens,0.0
Belém (PA),4º trimestre 2020,Mulheres,0.0
Belém (PA),1º trimestre 2021,Homens,0.0
Belém (PA),1º trimestre 2021,Mulheres,0.0
Belém (PA),2º trimestre 2021,Homens,0.0
Belém (PA),2º trimestre 2021,Mulheres,0.0
Belém (PA),3º trimestre 2021,Homens,0.0
Belém (PA),3º trimestre 2021,Mulheres,0.0
Belém (PA),4º trimestre 2021,Homens,0.0
Belém (PA),4º trimestre 2021,Mulheres,0.0
