municipio,trimestre,Posição na ocupação,quantidade de posição e categoria
Rondônia,1º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",336.0
Rondônia,1º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",245.0
Rondônia,1º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",91.0
Rondônia,1º trimestre 2015,Trabalhador doméstico,34.0
Rondônia,1º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,1º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,23.0
Rondônia,1º trimestre 2015,Empregado no setor público,104.0
Rondônia,1º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",5.0
Rondônia,1º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",10.0
Rondônia,1º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,89.0
Rondônia,1º trimestre 2015,Empregador,27.0
Rondônia,1º trimestre 2015,Conta própria,214.0
Rondônia,1º trimestre 2015,Trabalhador familiar auxiliar,41.0
Rondônia,2º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",330.0
Rondônia,2º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",242.0
Rondônia,2º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",88.0
Rondônia,2º trimestre 2015,Trabalhador doméstico,35.0
Rondônia,2º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,9.0
Rondônia,2º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,26.0
Rondônia,2º trimestre 2015,Empregado no setor público,106.0
Rondônia,2º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",7.0
Rondônia,2º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",7.0
Rondônia,2º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,92.0
Rondônia,2º trimestre 2015,Empregador,21.0
Rondônia,2º trimestre 2015,Conta própria,213.0
Rondônia,2º trimestre 2015,Trabalhador familiar auxiliar,42.0
Rondônia,3º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",328.0
Rondônia,3º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",241.0
Rondônia,3º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",87.0
Rondônia,3º trimestre 2015,Trabalhador doméstico,38.0
Rondônia,3º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,3º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,27.0
Rondônia,3º trimestre 2015,Empregado no setor público,107.0
Rondônia,3º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",5.0
Rondônia,3º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",10.0
Rondônia,3º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,91.0
Rondônia,3º trimestre 2015,Empregador,18.0
Rondônia,3º trimestre 2015,Conta própria,221.0
Rondônia,3º trimestre 2015,Trabalhador familiar auxiliar,42.0
Rondônia,4º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico",325.0
Rondônia,4º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",232.0
Rondônia,4º trimestre 2015,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",93.0
Rondônia,4º trimestre 2015,Trabalhador doméstico,41.0
Rondônia,4º trimestre 2015,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Rondônia,4º trimestre 2015,Trabalhador doméstico - sem carteira de trabalho assinada,29.0
Rondônia,4º trimestre 2015,Empregado no setor público,109.0
Rondônia,4º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",7.0
Rondônia,4º trimestre 2015,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",9.0
Rondônia,4º trimestre 2015,Empregado no setor público - militar e funcionário público estatutário,93.0
Rondônia,4º trimestre 2015,Empregador,20.0
Rondônia,4º trimestre 2015,Conta própria,232.0
Rondônia,4º trimestre 2015,Trabalhador familiar auxiliar,36.0
Rondônia,1º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",318.0
Rondônia,1º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",227.0
Rondônia,1º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",90.0
Rondônia,1º trimestre 2016,Trabalhador doméstico,41.0
Rondônia,1º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,13.0
Rondônia,1º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,28.0
Rondônia,1º trimestre 2016,Empregado no setor público,108.0
Rondônia,1º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",4.0
Rondônia,1º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",9.0
Rondônia,1º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,95.0
Rondônia,1º trimestre 2016,Empregador,21.0
Rondônia,1º trimestre 2016,Conta própria,229.0
Rondônia,1º trimestre 2016,Trabalhador familiar auxiliar,34.0
Rondônia,2º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",320.0
Rondônia,2º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",215.0
Rondônia,2º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",105.0
Rondônia,2º trimestre 2016,Trabalhador doméstico,42.0
Rondônia,2º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Rondônia,2º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,32.0
Rondônia,2º trimestre 2016,Empregado no setor público,111.0
Rondônia,2º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",5.0
Rondônia,2º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",11.0
Rondônia,2º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,95.0
Rondônia,2º trimestre 2016,Empregador,22.0
Rondônia,2º trimestre 2016,Conta própria,229.0
Rondônia,2º trimestre 2016,Trabalhador familiar auxiliar,42.0
Rondônia,3º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",317.0
Rondônia,3º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",221.0
Rondônia,3º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",96.0
Rondônia,3º trimestre 2016,Trabalhador doméstico,36.0
Rondônia,3º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,3º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,27.0
Rondônia,3º trimestre 2016,Empregado no setor público,108.0
Rondônia,3º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",6.0
Rondônia,3º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",9.0
Rondônia,3º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,93.0
Rondônia,3º trimestre 2016,Empregador,23.0
Rondônia,3º trimestre 2016,Conta própria,225.0
Rondônia,3º trimestre 2016,Trabalhador familiar auxiliar,37.0
Rondônia,4º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico",320.0
Rondônia,4º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",214.0
Rondônia,4º trimestre 2016,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",105.0
Rondônia,4º trimestre 2016,Trabalhador doméstico,41.0
Rondônia,4º trimestre 2016,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,4º trimestre 2016,Trabalhador doméstico - sem carteira de trabalho assinada,31.0
Rondônia,4º trimestre 2016,Empregado no setor público,115.0
Rondônia,4º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",5.0
Rondônia,4º trimestre 2016,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",8.0
Rondônia,4º trimestre 2016,Empregado no setor público - militar e funcionário público estatutário,102.0
Rondônia,4º trimestre 2016,Empregador,26.0
Rondônia,4º trimestre 2016,Conta própria,219.0
Rondônia,4º trimestre 2016,Trabalhador familiar auxiliar,41.0
Rondônia,1º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico",321.0
Rondônia,1º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",214.0
Rondônia,1º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",107.0
Rondônia,1º trimestre 2017,Trabalhador doméstico,42.0
Rondônia,1º trimestre 2017,Trabalhador doméstico - com carteira de trabalho assinada,11.0
Rondônia,1º trimestre 2017,Trabalhador doméstico - sem carteira de trabalho assinada,30.0
Rondônia,1º trimestre 2017,Empregado no setor público,110.0
Rondônia,1º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",2.0
Rondônia,1º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",8.0
Rondônia,1º trimestre 2017,Empregado no setor público - militar e funcionário público estatutário,100.0
Rondônia,1º trimestre 2017,Empregador,24.0
Rondônia,1º trimestre 2017,Conta própria,205.0
Rondônia,1º trimestre 2017,Trabalhador familiar auxiliar,39.0
Rondônia,2º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico",315.0
Rondônia,2º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",208.0
Rondônia,2º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",107.0
Rondônia,2º trimestre 2017,Trabalhador doméstico,47.0
Rondônia,2º trimestre 2017,Trabalhador doméstico - com carteira de trabalho assinada,13.0
Rondônia,2º trimestre 2017,Trabalhador doméstico - sem carteira de trabalho assinada,33.0
Rondônia,2º trimestre 2017,Empregado no setor público,111.0
Rondônia,2º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",2.0
Rondônia,2º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",10.0
Rondônia,2º trimestre 2017,Empregado no setor público - militar e funcionário público estatutário,99.0
Rondônia,2º trimestre 2017,Empregador,29.0
Rondônia,2º trimestre 2017,Conta própria,219.0
Rondônia,2º trimestre 2017,Trabalhador familiar auxiliar,39.0
Rondônia,3º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico",327.0
Rondônia,3º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",222.0
Rondônia,3º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",105.0
Rondônia,3º trimestre 2017,Trabalhador doméstico,50.0
Rondônia,3º trimestre 2017,Trabalhador doméstico - com carteira de trabalho assinada,12.0
Rondônia,3º trimestre 2017,Trabalhador doméstico - sem carteira de trabalho assinada,38.0
Rondônia,3º trimestre 2017,Empregado no setor público,116.0
Rondônia,3º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",3.0
Rondônia,3º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",12.0
Rondônia,3º trimestre 2017,Empregado no setor público - militar e funcionário público estatutário,100.0
Rondônia,3º trimestre 2017,Empregador,26.0
Rondônia,3º trimestre 2017,Conta própria,217.0
Rondônia,3º trimestre 2017,Trabalhador familiar auxiliar,38.0
Rondônia,4º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico",334.0
Rondônia,4º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",232.0
Rondônia,4º trimestre 2017,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",102.0
Rondônia,4º trimestre 2017,Trabalhador doméstico,44.0
Rondônia,4º trimestre 2017,Trabalhador doméstico - com carteira de trabalho assinada,10.0
Rondônia,4º trimestre 2017,Trabalhador doméstico - sem carteira de trabalho assinada,34.0
Rondônia,4º trimestre 2017,Empregado no setor público,120.0
Rondônia,4º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",2.0
Rondônia,4º trimestre 2017,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",13.0
Rondônia,4º trimestre 2017,Empregado no setor público - militar e funcionário público estatutário,104.0
Rondônia,4º trimestre 2017,Empregador,30.0
Rondônia,4º trimestre 2017,Conta própria,217.0
Rondônia,4º trimestre 2017,Trabalhador familiar auxiliar,46.0
Rondônia,1º trimestre 2018,"Empregado no setor privado, exclusive trabalhador doméstico",329.0
Rondônia,1º trimestre 2018,"Empregado no setor privado, exclusive trabalhador doméstico - com carteira de trabalho assinada",235.0
Rondônia,1º trimestre 2018,"Empregado no setor privado, exclusive trabalhador doméstico - sem carteira de trabalho assinada",94.0
Rondônia,1º trimestre 2018,Trabalhador doméstico,40.0
Rondônia,1º trimestre 2018,Trabalhador doméstico - com carteira de trabalho assinada,8.0
Rondônia,1º trimestre 2018,Trabalhador doméstico - sem carteira de trabalho assinada,32.0
Rondônia,1º trimestre 2018,Empregado no setor público,113.0
Rondônia,1º trimestre 2018,"Empregado no setor público, exclusive militar e funcionário público estatutário - com carteira de trabalho assinada",3.0
Rondônia,1º trimestre 2018,"Empregado no setor público, exclusive militar e funcionário público estatutário - sem carteira de trabalho assinada",9.0
Rondônia,1º trimestre 2018,Empregado no setor público - militar e funcionário público estatutário,101.0
Rondônia,1º trimestre 2018,Empregador,25.0
