municipio,posição de ocupação,trimestre,quantidade de posição de ocupação
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2013,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2013,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2014,3.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2014,3.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2014,5.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2014,4.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2015,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2015,3.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2015,3.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2015,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2016,3.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2016,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2016,3.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2016,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2017,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2017,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2017,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2017,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2018,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2018,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2018,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2018,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2019,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2019,5.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2019,4.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2019,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2020,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2020,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2020,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2020,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2021,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2021,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2021,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2021,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2022,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2022,2.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2022,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2022,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2023,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2023,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2023,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2023,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,1º trimestre 2024,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,2º trimestre 2024,1.0
Porto Velho (RO),Trabalhador familiar auxiliar,3º trimestre 2024,0.0
Porto Velho (RO),Trabalhador familiar auxiliar,4º trimestre 2024,0.0
Rio Branco (AC),Empregado,1º trimestre 2012,114.0
Rio Branco (AC),Empregado,2º trimestre 2012,112.0
Rio Branco (AC),Empregado,3º trimestre 2012,114.0
Rio Branco (AC),Empregado,4º trimestre 2012,113.0
Rio Branco (AC),Empregado,1º trimestre 2013,112.0
Rio Branco (AC),Empregado,2º trimestre 2013,109.0
Rio Branco (AC),Empregado,3º trimestre 2013,109.0
Rio Branco (AC),Empregado,4º trimestre 2013,112.0
Rio Branco (AC),Empregado,1º trimestre 2014,115.0
Rio Branco (AC),Empregado,2º trimestre 2014,114.0
Rio Branco (AC),Empregado,3º trimestre 2014,117.0
Rio Branco (AC),Empregado,4º trimestre 2014,116.0
Rio Branco (AC),Empregado,1º trimestre 2015,117.0
Rio Branco (AC),Empregado,2º trimestre 2015,110.0
Rio Branco (AC),Empregado,3º trimestre 2015,111.0
Rio Branco (AC),Empregado,4º trimestre 2015,111.0
Rio Branco (AC),Empregado,1º trimestre 2016,109.0
Rio Branco (AC),Empregado,2º trimestre 2016,113.0
Rio Branco (AC),Empregado,3º trimestre 2016,114.0
Rio Branco (AC),Empregado,4º trimestre 2016,117.0
Rio Branco (AC),Empregado,1º trimestre 2017,119.0
Rio Branco (AC),Empregado,2º trimestre 2017,119.0
Rio Branco (AC),Empregado,3º trimestre 2017,116.0
Rio Branco (AC),Empregado,4º trimestre 2017,117.0
Rio Branco (AC),Empregado,1º trimestre 2018,118.0
Rio Branco (AC),Empregado,2º trimestre 2018,119.0
Rio Branco (AC),Empregado,3º trimestre 2018,122.0
Rio Branco (AC),Empregado,4º trimestre 2018,121.0
Rio Branco (AC),Empregado,1º trimestre 2019,108.0
Rio Branco (AC),Empregado,2º trimestre 2019,108.0
Rio Branco (AC),Empregado,3º trimestre 2019,108.0
Rio Branco (AC),Empregado,4º trimestre 2019,108.0
Rio Branco (AC),Empregado,1º trimestre 2020,103.0
Rio Branco (AC),Empregado,2º trimestre 2020,0.0
Rio Branco (AC),Empregado,3º trimestre 2020,0.0
Rio Branco (AC),Empregado,4º trimestre 2020,0.0
Rio Branco (AC),Empregado,1º trimestre 2021,0.0
Rio Branco (AC),Empregado,2º trimestre 2021,0.0
Rio Branco (AC),Empregado,3º trimestre 2021,0.0
Rio Branco (AC),Empregado,4º trimestre 2021,0.0
Rio Branco (AC),Empregado,1º trimestre 2022,0.0
Rio Branco (AC),Empregado,2º trimestre 2022,122.0
Rio Branco (AC),Empregado,3º trimestre 2022,121.0
Rio Branco (AC),Empregado,4º trimestre 2022,118.0
Rio Branco (AC),Empregado,1º trimestre 2023,117.0
Rio Branco (AC),Empregado,2º trimestre 2023,115.0
Rio Branco (AC),Empregado,3º trimestre 2023,121.0
Rio Branco (AC),Empregado,4º trimestre 2023,116.0
Rio Branco (AC),Empregado,1º trimestre 2024,119.0
Rio Branco (AC),Empregado,2º trimestre 2024,124.0
Rio Branco (AC),Empregado,3º trimestre 2024,133.0
Rio Branco (AC),Empregado,4º trimestre 2024,136.0
Rio Branco (AC),Empregador,1º trimestre 2012,5.0
Rio Branco (AC),Empregador,2º trimestre 2012,6.0
Rio Branco (AC),Empregador,3º trimestre 2012,6.0
Rio Branco (AC),Empregador,4º trimestre 2012,7.0
Rio Branco (AC),Empregador,1º trimestre 2013,6.0
Rio Branco (AC),Empregador,2º trimestre 2013,5.0
Rio Branco (AC),Empregador,3º trimestre 2013,6.0
Rio Branco (AC),Empregador,4º trimestre 2013,5.0
Rio Branco (AC),Empregador,1º trimestre 2014,3.0
Rio Branco (AC),Empregador,2º trimestre 2014,3.0
Rio Branco (AC),Empregador,3º trimestre 2014,3.0
Rio Branco (AC),Empregador,4º trimestre 2014,4.0
Rio Branco (AC),Empregador,1º trimestre 2015,5.0
Rio Branco (AC),Empregador,2º trimestre 2015,4.0
Rio Branco (AC),Empregador,3º trimestre 2015,4.0
Rio Branco (AC),Empregador,4º trimestre 2015,4.0
Rio Branco (AC),Empregador,1º trimestre 2016,5.0
Rio Branco (AC),Empregador,2º trimestre 2016,5.0
Rio Branco (AC),Empregador,3º trimestre 2016,5.0
Rio Branco (AC),Empregador,4º trimestre 2016,4.0
Rio Branco (AC),Empregador,1º trimestre 2017,5.0
Rio Branco (AC),Empregador,2º trimestre 2017,4.0
Rio Branco (AC),Empregador,3º trimestre 2017,5.0
Rio Branco (AC),Empregador,4º trimestre 2017,6.0
Rio Branco (AC),Empregador,1º trimestre 2018,3.0
Rio Branco (AC),Empregador,2º trimestre 2018,4.0
Rio Branco (AC),Empregador,3º trimestre 2018,3.0
Rio Branco (AC),Empregador,4º trimestre 2018,4.0
Rio Branco (AC),Empregador,1º trimestre 2019,4.0
Rio Branco (AC),Empregador,2º trimestre 2019,5.0
Rio Branco (AC),Empregador,3º trimestre 2019,5.0
Rio Branco (AC),Empregador,4º trimestre 2019,5.0
Rio Branco (AC),Empregador,1º trimestre 2020,4.0
Rio Branco (AC),Empregador,2º trimestre 2020,0.0
Rio Branco (AC),Empregador,3º trimestre 2020,0.0
Rio Branco (AC),Empregador,4º trimestre 2020,0.0
Rio Branco (AC),Empregador,1º trimestre 2021,0.0
Rio Branco (AC),Empregador,2º trimestre 2021,0.0
Rio Branco (AC),Empregador,3º trimestre 2021,0.0
Rio Branco (AC),Empregador,4º trimestre 2021,0.0
Rio Branco (AC),Empregador,1º trimestre 2022,0.0
Rio Branco (AC),Empregador,2º trimestre 2022,5.0
Rio Branco (AC),Empregador,3º trimestre 2022,6.0
Rio Branco (AC),Empregador,4º trimestre 2022,5.0
Rio Branco (AC),Empregador,1º trimestre 2023,4.0
Rio Branco (AC),Empregador,2º trimestre 2023,5.0
Rio Branco (AC),Empregador,3º trimestre 2023,4.0
Rio Branco (AC),Empregador,4º trimestre 2023,4.0
Rio Branco (AC),Empregador,1º trimestre 2024,4.0
Rio Branco (AC),Empregador,2º trimestre 2024,5.0
Rio Branco (AC),Empregador,3º trimestre 2024,6.0
Rio Branco (AC),Empregador,4º trimestre 2024,5.0
Rio Branco (AC),Conta própria,1º trimestre 2012,27.0
Rio Branco (AC),Conta própria,2º trimestre 2012,32.0
Rio Branco (AC),Conta própria,3º trimestre 2012,33.0
Rio Branco (AC),Conta própria,4º trimestre 2012,34.0
Rio Branco (AC),Conta própria,1º trimestre 2013,32.0
Rio Branco (AC),Conta própria,2º trimestre 2013,34.0
Rio Branco (AC),Conta própria,3º trimestre 2013,33.0
Rio Branco (AC),Conta própria,4º trimestre 2013,35.0
Rio Branco (AC),Conta própria,1º trimestre 2014,33.0
Rio Branco (AC),Conta própria,2º trimestre 2014,35.0
Rio Branco (AC),Conta própria,3º trimestre 2014,38.0
Rio Branco (AC),Conta própria,4º trimestre 2014,38.0
Rio Branco (AC),Conta própria,1º trimestre 2015,33.0
Rio Branco (AC),Conta própria,2º trimestre 2015,39.0
Rio Branco (AC),Conta própria,3º trimestre 2015,39.0
Rio Branco (AC),Conta própria,4º trimestre 2015,40.0
Rio Branco (AC),Conta própria,1º trimestre 2016,36.0
Rio Branco (AC),Conta própria,2º trimestre 2016,35.0
Rio Branco (AC),Conta própria,3º trimestre 2016,33.0
Rio Branco (AC),Conta própria,4º trimestre 2016,34.0
Rio Branco (AC),Conta própria,1º trimestre 2017,34.0
Rio Branco (AC),Conta própria,2º trimestre 2017,40.0
Rio Branco (AC),Conta própria,3º trimestre 2017,38.0
Rio Branco (AC),Conta própria,4º trimestre 2017,43.0
Rio Branco (AC),Conta própria,1º trimestre 2018,44.0
Rio Branco (AC),Conta própria,2º trimestre 2018,44.0
Rio Branco (AC),Conta própria,3º trimestre 2018,46.0
Rio Branco (AC),Conta própria,4º trimestre 2018,47.0
Rio Branco (AC),Conta própria,1º trimestre 2019,47.0
Rio Branco (AC),Conta própria,2º trimestre 2019,48.0
Rio Branco (AC),Conta própria,3º trimestre 2019,46.0
Rio Branco (AC),Conta própria,4º trimestre 2019,46.0
Rio Branco (AC),Conta própria,1º trimestre 2020,45.0
Rio Branco (AC),Conta própria,2º trimestre 2020,0.0
Rio Branco (AC),Conta própria,3º trimestre 2020,0.0
Rio Branco (AC),Conta própria,4º trimestre 2020,0.0
Rio Branco (AC),Conta própria,1º trimestre 2021,0.0
Rio Branco (AC),Conta própria,2º trimestre 2021,0.0
Rio Branco (AC),Conta própria,3º trimestre 2021,0.0
Rio Branco (AC),Conta própria,4º trimestre 2021,0.0
Rio Branco (AC),Conta própria,1º trimestre 2022,0.0
Rio Branco (AC),Conta própria,2º trimestre 2022,39.0
Rio Branco (AC),Conta própria,3º trimestre 2022,35.0
Rio Branco (AC),Conta própria,4º trimestre 2022,37.0
Rio Branco (AC),Conta própria,1º trimestre 2023,39.0
Rio Branco (AC),Conta própria,2º trimestre 2023,39.0
Rio Branco (AC),Conta própria,3º trimestre 2023,41.0
Rio Branco (AC),Conta própria,4º trimestre 2023,38.0
Rio Branco (AC),Conta própria,1º trimestre 2024,34.0
Rio Branco (AC),Conta própria,2º trimestre 2024,32.0
Rio Branco (AC),Conta própria,3º trimestre 2024,32.0
Rio Branco (AC),Conta própria,4º trimestre 2024,32.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2012,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2012,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2012,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2012,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2013,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2013,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2013,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2013,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2014,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2014,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2014,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2014,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2015,4.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2015,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2015,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2015,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2016,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2016,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2016,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2016,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2017,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2017,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2017,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2017,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2018,4.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2018,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2018,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2018,3.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2019,4.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2019,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2019,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2019,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2020,2.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2020,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2020,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2020,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2021,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2021,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2021,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2021,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2022,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2022,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2022,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2022,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2023,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2023,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2023,1.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2023,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,1º trimestre 2024,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,2º trimestre 2024,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,3º trimestre 2024,0.0
Rio Branco (AC),Trabalhador familiar auxiliar,4º trimestre 2024,1.0
Manaus (AM),Empregado,1º trimestre 2012,620.0
Manaus (AM),Empregado,2º trimestre 2012,617.0
Manaus (AM),Empregado,3º trimestre 2012,604.0
Manaus (AM),Empregado,4º trimestre 2012,628.0
Manaus (AM),Empregado,1º trimestre 2013,619.0
Manaus (AM),Empregado,2º trimestre 2013,628.0
Manaus (AM),Empregado,3º trimestre 2013,650.0
Manaus (AM),Empregado,4º trimestre 2013,675.0
Manaus (AM),Empregado,1º trimestre 2014,645.0
Manaus (AM),Empregado,2º trimestre 2014,648.0
Manaus (AM),Empregado,3º trimestre 2014,656.0
Manaus (AM),Empregado,4º trimestre 2014,646.0
Manaus (AM),Empregado,1º trimestre 2015,612.0
Manaus (AM),Empregado,2º trimestre 2015,606.0
Manaus (AM),Empregado,3º trimestre 2015,603.0
Manaus (AM),Empregado,4º trimestre 2015,602.0
Manaus (AM),Empregado,1º trimestre 2016,590.0
Manaus (AM),Empregado,2º trimestre 2016,608.0
Manaus (AM),Empregado,3º trimestre 2016,585.0
Manaus (AM),Empregado,4º trimestre 2016,567.0
Manaus (AM),Empregado,1º trimestre 2017,563.0
Manaus (AM),Empregado,2º trimestre 2017,580.0
Manaus (AM),Empregado,3º trimestre 2017,565.0
Manaus (AM),Empregado,4º trimestre 2017,570.0
Manaus (AM),Empregado,1º trimestre 2018,582.0
Manaus (AM),Empregado,2º trimestre 2018,595.0
Manaus (AM),Empregado,3º trimestre 2018,595.0
