municipio,trimestre,Condição de ocupação,quantidade de condição de ocupação
Porto Velho (RO),4º trimestre 2013,Fora da força de trabalho,133
Porto Velho (RO),1º trimestre 2014,Força de trabalho,230
Porto Velho (RO),1º trimestre 2014,Força de trabalho - ocupada,221
Porto Velho (RO),1º trimestre 2014,Força de trabalho - desocupada,10
Porto Velho (RO),1º trimestre 2014,Fora da força de trabalho,128
Porto Velho (RO),2º trimestre 2014,Força de trabalho,223
Porto Velho (RO),2º trimestre 2014,Força de trabalho - ocupada,214
Porto Velho (RO),2º trimestre 2014,Força de trabalho - desocupada,9
Porto Velho (RO),2º trimestre 2014,Fora da força de trabalho,141
Porto Velho (RO),3º trimestre 2014,Força de trabalho,226
Porto Velho (RO),3º trimestre 2014,Força de trabalho - ocupada,216
Porto Velho (RO),3º trimestre 2014,Força de trabalho - desocupada,10
Porto Velho (RO),3º trimestre 2014,Fora da força de trabalho,146
Porto Velho (RO),4º trimestre 2014,Força de trabalho,221
Porto Velho (RO),4º trimestre 2014,Força de trabalho - ocupada,214
Porto Velho (RO),4º trimestre 2014,Força de trabalho - desocupada,7
Porto Velho (RO),4º trimestre 2014,Fora da força de trabalho,150
Porto Velho (RO),1º trimestre 2015,Força de trabalho,228
Porto Velho (RO),1º trimestre 2015,Força de trabalho - ocupada,218
Porto Velho (RO),1º trimestre 2015,Força de trabalho - desocupada,9
Porto Velho (RO),1º trimestre 2015,Fora da força de trabalho,146
Porto Velho (RO),2º trimestre 2015,Força de trabalho,219
Porto Velho (RO),2º trimestre 2015,Força de trabalho - ocupada,206
Porto Velho (RO),2º trimestre 2015,Força de trabalho - desocupada,13
Porto Velho (RO),2º trimestre 2015,Fora da força de trabalho,156
Porto Velho (RO),3º trimestre 2015,Força de trabalho,230
Porto Velho (RO),3º trimestre 2015,Força de trabalho - ocupada,214
Porto Velho (RO),3º trimestre 2015,Força de trabalho - desocupada,15
Porto Velho (RO),3º trimestre 2015,Fora da força de trabalho,143
Porto Velho (RO),4º trimestre 2015,Força de trabalho,245
Porto Velho (RO),4º trimestre 2015,Força de trabalho - ocupada,228
Porto Velho (RO),4º trimestre 2015,Força de trabalho - desocupada,17
Porto Velho (RO),4º trimestre 2015,Fora da força de trabalho,135
Porto Velho (RO),1º trimestre 2016,Força de trabalho,230
Porto Velho (RO),1º trimestre 2016,Força de trabalho - ocupada,212
Porto Velho (RO),1º trimestre 2016,Força de trabalho - desocupada,18
Porto Velho (RO),1º trimestre 2016,Fora da força de trabalho,151
Porto Velho (RO),2º trimestre 2016,Força de trabalho,247
Porto Velho (RO),2º trimestre 2016,Força de trabalho - ocupada,221
Porto Velho (RO),2º trimestre 2016,Força de trabalho - desocupada,26
Porto Velho (RO),2º trimestre 2016,Fora da força de trabalho,133
Porto Velho (RO),3º trimestre 2016,Força de trabalho,245
Porto Velho (RO),3º trimestre 2016,Força de trabalho - ocupada,215
Porto Velho (RO),3º trimestre 2016,Força de trabalho - desocupada,30
Porto Velho (RO),3º trimestre 2016,Fora da força de trabalho,130
Porto Velho (RO),4º trimestre 2016,Força de trabalho,243
Porto Velho (RO),4º trimestre 2016,Força de trabalho - ocupada,212
Porto Velho (RO),4º trimestre 2016,Força de trabalho - desocupada,31
Porto Velho (RO),4º trimestre 2016,Fora da força de trabalho,139
Porto Velho (RO),1º trimestre 2017,Força de trabalho,231
Porto Velho (RO),1º trimestre 2017,Força de trabalho - ocupada,204
Porto Velho (RO),1º trimestre 2017,Força de trabalho - desocupada,27
Porto Velho (RO),1º trimestre 2017,Fora da força de trabalho,150
Porto Velho (RO),2º trimestre 2017,Força de trabalho,246
Porto Velho (RO),2º trimestre 2017,Força de trabalho - ocupada,216
Porto Velho (RO),2º trimestre 2017,Força de trabalho - desocupada,30
Porto Velho (RO),2º trimestre 2017,Fora da força de trabalho,141
Porto Velho (RO),3º trimestre 2017,Força de trabalho,251
Porto Velho (RO),3º trimestre 2017,Força de trabalho - ocupada,219
Porto Velho (RO),3º trimestre 2017,Força de trabalho - desocupada,32
Porto Velho (RO),3º trimestre 2017,Fora da força de trabalho,137
Porto Velho (RO),4º trimestre 2017,Força de trabalho,255
Porto Velho (RO),4º trimestre 2017,Força de trabalho - ocupada,223
Porto Velho (RO),4º trimestre 2017,Força de trabalho - desocupada,32
Porto Velho (RO),4º trimestre 2017,Fora da força de trabalho,138
Porto Velho (RO),1º trimestre 2018,Força de trabalho,259
Porto Velho (RO),1º trimestre 2018,Força de trabalho - ocupada,218
Porto Velho (RO),1º trimestre 2018,Força de trabalho - desocupada,41
Porto Velho (RO),1º trimestre 2018,Fora da força de trabalho,138
Porto Velho (RO),2º trimestre 2018,Força de trabalho,242
Porto Velho (RO),2º trimestre 2018,Força de trabalho - ocupada,210
Porto Velho (RO),2º trimestre 2018,Força de trabalho - desocupada,32
Porto Velho (RO),2º trimestre 2018,Fora da força de trabalho,156
Porto Velho (RO),3º trimestre 2018,Força de trabalho,253
Porto Velho (RO),3º trimestre 2018,Força de trabalho - ocupada,220
Porto Velho (RO),3º trimestre 2018,Força de trabalho - desocupada,34
Porto Velho (RO),3º trimestre 2018,Fora da força de trabalho,150
Porto Velho (RO),4º trimestre 2018,Força de trabalho,264
Porto Velho (RO),4º trimestre 2018,Força de trabalho - ocupada,229
Porto Velho (RO),4º trimestre 2018,Força de trabalho - desocupada,35
Porto Velho (RO),4º trimestre 2018,Fora da força de trabalho,144
Porto Velho (RO),1º trimestre 2019,Força de trabalho,257
Porto Velho (RO),1º trimestre 2019,Força de trabalho - ocupada,229
Porto Velho (RO),1º trimestre 2019,Força de trabalho - desocupada,28
Porto Velho (RO),1º trimestre 2019,Fora da força de trabalho,157
Porto Velho (RO),2º trimestre 2019,Força de trabalho,251
Porto Velho (RO),2º trimestre 2019,Força de trabalho - ocupada,225
Porto Velho (RO),2º trimestre 2019,Força de trabalho - desocupada,26
Porto Velho (RO),2º trimestre 2019,Fora da força de trabalho,169
Porto Velho (RO),3º trimestre 2019,Força de trabalho,256
Porto Velho (RO),3º trimestre 2019,Força de trabalho - ocupada,228
Porto Velho (RO),3º trimestre 2019,Força de trabalho - desocupada,28
Porto Velho (RO),3º trimestre 2019,Fora da força de trabalho,165
Porto Velho (RO),4º trimestre 2019,Força de trabalho,255
Porto Velho (RO),4º trimestre 2019,Força de trabalho - ocupada,229
Porto Velho (RO),4º trimestre 2019,Força de trabalho - desocupada,26
Porto Velho (RO),4º trimestre 2019,Fora da força de trabalho,164
Porto Velho (RO),1º trimestre 2020,Força de trabalho,262
Porto Velho (RO),1º trimestre 2020,Força de trabalho - ocupada,227
Porto Velho (RO),1º trimestre 2020,Força de trabalho - desocupada,35
Porto Velho (RO),1º trimestre 2020,Fora da força de trabalho,148
Porto Velho (RO),2º trimestre 2020,Força de trabalho,0
Porto Velho (RO),2º trimestre 2020,Força de trabalho - ocupada,0
Porto Velho (RO),2º trimestre 2020,Força de trabalho - desocupada,0
Porto Velho (RO),2º trimestre 2020,Fora da força de trabalho,0
Porto Velho (RO),3º trimestre 2020,Força de trabalho,0
Porto Velho (RO),3º trimestre 2020,Força de trabalho - ocupada,0
Porto Velho (RO),3º trimestre 2020,Força de trabalho - desocupada,0
Porto Velho (RO),3º trimestre 2020,Fora da força de trabalho,0
Porto Velho (RO),4º trimestre 2020,Força de trabalho,0
Porto Velho (RO),4º trimestre 2020,Força de trabalho - ocupada,0
Porto Velho (RO),4º trimestre 2020,Força de trabalho - desocupada,0
Porto Velho (RO),4º trimestre 2020,Fora da força de trabalho,0
Porto Velho (RO),1º trimestre 2021,Força de trabalho,0
Porto Velho (RO),1º trimestre 2021,Força de trabalho - ocupada,0
Porto Velho (RO),1º trimestre 2021,Força de trabalho - desocupada,0
Porto Velho (RO),1º trimestre 2021,Fora da força de trabalho,0
Porto Velho (RO),2º trimestre 2021,Força de trabalho,0
Porto Velho (RO),2º trimestre 2021,Força de trabalho - ocupada,0
Porto Velho (RO),2º trimestre 2021,Força de trabalho - desocupada,0
Porto Velho (RO),2º trimestre 2021,Fora da força de trabalho,0
Porto Velho (RO),3º trimestre 2021,Força de trabalho,0
Porto Velho (RO),3º trimestre 2021,Força de trabalho - ocupada,0
Porto Velho (RO),3º trimestre 2021,Força de trabalho - desocupada,0
Porto Velho (RO),3º trimestre 2021,Fora da força de trabalho,0
Porto Velho (RO),4º trimestre 2021,Força de trabalho,0
Porto Velho (RO),4º trimestre 2021,Força de trabalho - ocupada,0
Porto Velho (RO),4º trimestre 2021,Força de trabalho - desocupada,0
Porto Velho (RO),4º trimestre 2021,Fora da força de trabalho,0
Porto Velho (RO),1º trimestre 2022,Força de trabalho,0
Porto Velho (RO),1º trimestre 2022,Força de trabalho - ocupada,0
Porto Velho (RO),1º trimestre 2022,Força de trabalho - desocupada,0
Porto Velho (RO),1º trimestre 2022,Fora da força de trabalho,0
Porto Velho (RO),2º trimestre 2022,Força de trabalho,282
Porto Velho (RO),2º trimestre 2022,Força de trabalho - ocupada,253
Porto Velho (RO),2º trimestre 2022,Força de trabalho - desocupada,29
Porto Velho (RO),2º trimestre 2022,Fora da força de trabalho,158
Porto Velho (RO),3º trimestre 2022,Força de trabalho,277
Porto Velho (RO),3º trimestre 2022,Força de trabalho - ocupada,260
Porto Velho (RO),3º trimestre 2022,Força de trabalho - desocupada,16
Porto Velho (RO),3º trimestre 2022,Fora da força de trabalho,168
Porto Velho (RO),4º trimestre 2022,Força de trabalho,272
Porto Velho (RO),4º trimestre 2022,Força de trabalho - ocupada,262
Porto Velho (RO),4º trimestre 2022,Força de trabalho - desocupada,10
Porto Velho (RO),4º trimestre 2022,Fora da força de trabalho,177
Porto Velho (RO),1º trimestre 2023,Força de trabalho,254
Porto Velho (RO),1º trimestre 2023,Força de trabalho - ocupada,244
Porto Velho (RO),1º trimestre 2023,Força de trabalho - desocupada,9
Porto Velho (RO),1º trimestre 2023,Fora da força de trabalho,201
Porto Velho (RO),2º trimestre 2023,Força de trabalho,248
Porto Velho (RO),2º trimestre 2023,Força de trabalho - ocupada,240
Porto Velho (RO),2º trimestre 2023,Força de trabalho - desocupada,8
Porto Velho (RO),2º trimestre 2023,Fora da força de trabalho,209
Porto Velho (RO),3º trimestre 2023,Força de trabalho,246
Porto Velho (RO),3º trimestre 2023,Força de trabalho - ocupada,239
Porto Velho (RO),3º trimestre 2023,Força de trabalho - desocupada,7
Porto Velho (RO),3º trimestre 2023,Fora da força de trabalho,218
Porto Velho (RO),4º trimestre 2023,Força de trabalho,250
Porto Velho (RO),4º trimestre 2023,Força de trabalho - ocupada,233
Porto Velho (RO),4º trimestre 2023,Força de trabalho - desocupada,17
Porto Velho (RO),4º trimestre 2023,Fora da força de trabalho,228
Porto Velho (RO),1º trimestre 2024,Força de trabalho,274
Porto Velho (RO),1º trimestre 2024,Força de trabalho - ocupada,262
Porto Velho (RO),1º trimestre 2024,Força de trabalho - desocupada,13
Porto Velho (RO),1º trimestre 2024,Fora da força de trabalho,209
Porto Velho (RO),2º trimestre 2024,Força de trabalho,277
Porto Velho (RO),2º trimestre 2024,Força de trabalho - ocupada,264
Porto Velho (RO),2º trimestre 2024,Força de trabalho - desocupada,13
Porto Velho (RO),2º trimestre 2024,Fora da força de trabalho,203
Porto Velho (RO),3º trimestre 2024,Força de trabalho,274
Porto Velho (RO),3º trimestre 2024,Força de trabalho - ocupada,266
Porto Velho (RO),3º trimestre 2024,Força de trabalho - desocupada,8
Porto Velho (RO),3º trimestre 2024,Fora da força de trabalho,210
Porto Velho (RO),4º trimestre 2024,Força de trabalho,271
Porto Velho (RO),4º trimestre 2024,Força de trabalho - ocupada,263
Porto Velho (RO),4º trimestre 2024,Força de trabalho - desocupada,8
Porto Velho (RO),4º trimestre 2024,Fora da força de trabalho,211
Rio Branco (AC),1º trimestre 2012,Força de trabalho,164
Rio Branco (AC),1º trimestre 2012,Força de trabalho - ocupada,147
Rio Branco (AC),1º trimestre 2012,Força de trabalho - desocupada,17
Rio Branco (AC),1º trimestre 2012,Fora da força de trabalho,101
Rio Branco (AC),2º trimestre 2012,Força de trabalho,171
Rio Branco (AC),2º trimestre 2012,Força de trabalho - ocupada,153
Rio Branco (AC),2º trimestre 2012,Força de trabalho - desocupada,18
Rio Branco (AC),2º trimestre 2012,Fora da força de trabalho,95
Rio Branco (AC),3º trimestre 2012,Força de trabalho,171
Rio Branco (AC),3º trimestre 2012,Força de trabalho - ocupada,154
Rio Branco (AC),3º trimestre 2012,Força de trabalho - desocupada,17
Rio Branco (AC),3º trimestre 2012,Fora da força de trabalho,98
Rio Branco (AC),4º trimestre 2012,Força de trabalho,175
Rio Branco (AC),4º trimestre 2012,Força de trabalho - ocupada,158
Rio Branco (AC),4º trimestre 2012,Força de trabalho - desocupada,17
Rio Branco (AC),4º trimestre 2012,Fora da força de trabalho,93
Rio Branco (AC),1º trimestre 2013,Força de trabalho,174
Rio Branco (AC),1º trimestre 2013,Força de trabalho - ocupada,151
Rio Branco (AC),1º trimestre 2013,Força de trabalho - desocupada,23
Rio Branco (AC),1º trimestre 2013,Fora da força de trabalho,96
Rio Branco (AC),2º trimestre 2013,Força de trabalho,170
Rio Branco (AC),2º trimestre 2013,Força de trabalho - ocupada,150
Rio Branco (AC),2º trimestre 2013,Força de trabalho - desocupada,20
Rio Branco (AC),2º trimestre 2013,Fora da força de trabalho,103
Rio Branco (AC),3º trimestre 2013,Força de trabalho,167
Rio Branco (AC),3º trimestre 2013,Força de trabalho - ocupada,150
Rio Branco (AC),3º trimestre 2013,Força de trabalho - desocupada,17
Rio Branco (AC),3º trimestre 2013,Fora da força de trabalho,107
Rio Branco (AC),4º trimestre 2013,Força de trabalho,167
Rio Branco (AC),4º trimestre 2013,Força de trabalho - ocupada,153
Rio Branco (AC),4º trimestre 2013,Força de trabalho - desocupada,14
Rio Branco (AC),4º trimestre 2013,Fora da força de trabalho,109
Rio Branco (AC),1º trimestre 2014,Força de trabalho,169
Rio Branco (AC),1º trimestre 2014,Força de trabalho - ocupada,153
Rio Branco (AC),1º trimestre 2014,Força de trabalho - desocupada,17
Rio Branco (AC),1º trimestre 2014,Fora da força de trabalho,108
Rio Branco (AC),2º trimestre 2014,Força de trabalho,176
Rio Branco (AC),2º trimestre 2014,Força de trabalho - ocupada,153
Rio Branco (AC),2º trimestre 2014,Força de trabalho - desocupada,23
Rio Branco (AC),2º trimestre 2014,Fora da força de trabalho,101
Rio Branco (AC),3º trimestre 2014,Força de trabalho,174
Rio Branco (AC),3º trimestre 2014,Força de trabalho - ocupada,160
Rio Branco (AC),3º trimestre 2014,Força de trabalho - desocupada,14
Rio Branco (AC),3º trimestre 2014,Fora da força de trabalho,106
Rio Branco (AC),4º trimestre 2014,Força de trabalho,173
Rio Branco (AC),4º trimestre 2014,Força de trabalho - ocupada,160
Rio Branco (AC),4º trimestre 2014,Força de trabalho - desocupada,13
Rio Branco (AC),4º trimestre 2014,Fora da força de trabalho,108
Rio Branco (AC),1º trimestre 2015,Força de trabalho,181
Rio Branco (AC),1º trimestre 2015,Força de trabalho - ocupada,160
Rio Branco (AC),1º trimestre 2015,Força de trabalho - desocupada,21
Rio Branco (AC),1º trimestre 2015,Fora da força de trabalho,99
Rio Branco (AC),2º trimestre 2015,Força de trabalho,174
Rio Branco (AC),2º trimestre 2015,Força de trabalho - ocupada,156
Rio Branco (AC),2º trimestre 2015,Força de trabalho - desocupada,18
Rio Branco (AC),2º trimestre 2015,Fora da força de trabalho,106
Rio Branco (AC),3º trimestre 2015,Força de trabalho,176
Rio Branco (AC),3º trimestre 2015,Força de trabalho - ocupada,158
Rio Branco (AC),3º trimestre 2015,Força de trabalho - desocupada,18
Rio Branco (AC),3º trimestre 2015,Fora da força de trabalho,108
Rio Branco (AC),4º trimestre 2015,Força de trabalho,175
Rio Branco (AC),4º trimestre 2015,Força de trabalho - ocupada,157
Rio Branco (AC),4º trimestre 2015,Força de trabalho - desocupada,18
Rio Branco (AC),4º trimestre 2015,Fora da força de trabalho,113
Rio Branco (AC),1º trimestre 2016,Força de trabalho,174
Rio Branco (AC),1º trimestre 2016,Força de trabalho - ocupada,153
Rio Branco (AC),1º trimestre 2016,Força de trabalho - desocupada,21
Rio Branco (AC),1º trimestre 2016,Fora da força de trabalho,113
Rio Branco (AC),2º trimestre 2016,Força de trabalho,179
Rio Branco (AC),2º trimestre 2016,Força de trabalho - ocupada,155
Rio Branco (AC),2º trimestre 2016,Força de trabalho - desocupada,24
Rio Branco (AC),2º trimestre 2016,Fora da força de trabalho,111
Rio Branco (AC),3º trimestre 2016,Força de trabalho,179
Rio Branco (AC),3º trimestre 2016,Força de trabalho - ocupada,154
Rio Branco (AC),3º trimestre 2016,Força de trabalho - desocupada,25
Rio Branco (AC),3º trimestre 2016,Fora da força de trabalho,117
Rio Branco (AC),4º trimestre 2016,Força de trabalho,183
Rio Branco (AC),4º trimestre 2016,Força de trabalho - ocupada,159
Rio Branco (AC),4º trimestre 2016,Força de trabalho - desocupada,24
Rio Branco (AC),4º trimestre 2016,Fora da força de trabalho,116
Rio Branco (AC),1º trimestre 2017,Força de trabalho,191
Rio Branco (AC),1º trimestre 2017,Força de trabalho - ocupada,160
Rio Branco (AC),1º trimestre 2017,Força de trabalho - desocupada,31
Rio Branco (AC),1º trimestre 2017,Fora da força de trabalho,113
Rio Branco (AC),2º trimestre 2017,Força de trabalho,195
Rio Branco (AC),2º trimestre 2017,Força de trabalho - ocupada,166
Rio Branco (AC),2º trimestre 2017,Força de trabalho - desocupada,29
Rio Branco (AC),2º trimestre 2017,Fora da força de trabalho,109
Rio Branco (AC),3º trimestre 2017,Força de trabalho,189
Rio Branco (AC),3º trimestre 2017,Força de trabalho - ocupada,161
Rio Branco (AC),3º trimestre 2017,Força de trabalho - desocupada,28
Rio Branco (AC),3º trimestre 2017,Fora da força de trabalho,112
Rio Branco (AC),4º trimestre 2017,Força de trabalho,195
Rio Branco (AC),4º trimestre 2017,Força de trabalho - ocupada,169
Rio Branco (AC),4º trimestre 2017,Força de trabalho - desocupada,26
Rio Branco (AC),4º trimestre 2017,Fora da força de trabalho,108
Rio Branco (AC),1º trimestre 2018,Força de trabalho,199
Rio Branco (AC),1º trimestre 2018,Força de trabalho - ocupada,169
Rio Branco (AC),1º trimestre 2018,Força de trabalho - desocupada,30
Rio Branco (AC),1º trimestre 2018,Fora da força de trabalho,109
Rio Branco (AC),2º trimestre 2018,Força de trabalho,199
Rio Branco (AC),2º trimestre 2018,Força de trabalho - ocupada,170
Rio Branco (AC),2º trimestre 2018,Força de trabalho - desocupada,28
Rio Branco (AC),2º trimestre 2018,Fora da força de trabalho,109
Rio Branco (AC),3º trimestre 2018,Força de trabalho,204
Rio Branco (AC),3º trimestre 2018,Força de trabalho - ocupada,175
Rio Branco (AC),3º trimestre 2018,Força de trabalho - desocupada,29
Rio Branco (AC),3º trimestre 2018,Fora da força de trabalho,106
Rio Branco (AC),4º trimestre 2018,Força de trabalho,202
Rio Branco (AC),4º trimestre 2018,Força de trabalho - ocupada,176
Rio Branco (AC),4º trimestre 2018,Força de trabalho - desocupada,26
Rio Branco (AC),4º trimestre 2018,Fora da força de trabalho,111
Rio Branco (AC),1º trimestre 2019,Força de trabalho,200
Rio Branco (AC),1º trimestre 2019,Força de trabalho - ocupada,162
Rio Branco (AC),1º trimestre 2019,Força de trabalho - desocupada,39
Rio Branco (AC),1º trimestre 2019,Fora da força de trabalho,116
Rio Branco (AC),2º trimestre 2019,Força de trabalho,192
Rio Branco (AC),2º trimestre 2019,Força de trabalho - ocupada,163
Rio Branco (AC),2º trimestre 2019,Força de trabalho - desocupada,29
Rio Branco (AC),2º trimestre 2019,Fora da força de trabalho,122
Rio Branco (AC),3º trimestre 2019,Força de trabalho,186
Rio Branco (AC),3º trimestre 2019,Força de trabalho - ocupada,159
Rio Branco (AC),3º trimestre 2019,Força de trabalho - desocupada,27
Rio Branco (AC),3º trimestre 2019,Fora da força de trabalho,127
Rio Branco (AC),4º trimestre 2019,Força de trabalho,188
Rio Branco (AC),4º trimestre 2019,Força de trabalho - ocupada,160
Rio Branco (AC),4º trimestre 2019,Força de trabalho - desocupada,28
Rio Branco (AC),4º trimestre 2019,Fora da força de trabalho,129
Rio Branco (AC),1º trimestre 2020,Força de trabalho,181
Rio Branco (AC),1º trimestre 2020,Força de trabalho - ocupada,154
Rio Branco (AC),1º trimestre 2020,Força de trabalho - desocupada,27
Rio Branco (AC),1º trimestre 2020,Fora da força de trabalho,133
Rio Branco (AC),2º trimestre 2020,Força de trabalho,0
Rio Branco (AC),2º trimestre 2020,Força de trabalho - ocupada,0
Rio Branco (AC),2º trimestre 2020,Força de trabalho - desocupada,0
Rio Branco (AC),2º trimestre 2020,Fora da força de trabalho,0
Rio Branco (AC),3º trimestre 2020,Força de trabalho,0
Rio Branco (AC),3º trimestre 2020,Força de trabalho - ocupada,0
Rio Branco (AC),3º trimestre 2020,Força de trabalho - desocupada,0
Rio Branco (AC),3º trimestre 2020,Fora da força de trabalho,0
Rio Branco (AC),4º trimestre 2020,Força de trabalho,0
Rio Branco (AC),4º trimestre 2020,Força de trabalho - ocupada,0
Rio Branco (AC),4º trimestre 2020,Força de trabalho - desocupada,0
Rio Branco (AC),4º trimestre 2020,Fora da força de trabalho,0
Rio Branco (AC),1º trimestre 2021,Força de trabalho,0
Rio Branco (AC),1º trimestre 2021,Força de trabalho - ocupada,0
Rio Branco (AC),1º trimestre 2021,Força de trabalho - desocupada,0
Rio Branco (AC),1º trimestre 2021,Fora da força de trabalho,0
Rio Branco (AC),2º trimestre 2021,Força de trabalho,0
Rio Branco (AC),2º trimestre 2021,Força de trabalho - ocupada,0
Rio Branco (AC),2º trimestre 2021,Força de trabalho - desocupada,0
Rio Branco (AC),2º trimestre 2021,Fora da força de trabalho,0
Rio Branco (AC),3º trimestre 2021,Força de trabalho,0
Rio Branco (AC),3º trimestre 2021,Força de trabalho - ocupada,0
Rio Branco (AC),3º trimestre 2021,Força de trabalho - desocupada,0
Rio Branco (AC),3º trimestre 2021,Fora da força de trabalho,0
Rio Branco (AC),4º trimestre 2021,Força de trabalho,0
Rio Branco (AC),4º trimestre 2021,Força de trabalho - ocupada,0
Rio Branco (AC),4º trimestre 2021,Força de trabalho - desocupada,0
Rio Branco (AC),4º trimestre 2021,Fora da força de trabalho,0
Rio Branco (AC),1º trimestre 2022,Força de trabalho,0
Rio Branco (AC),1º trimestre 2022,Força de trabalho - ocupada,0
Rio Branco (AC),1º trimestre 2022,Força de trabalho - desocupada,0
Rio Branco (AC),1º trimestre 2022,Fora da força de trabalho,0
Rio Branco (AC),2º trimestre 2022,Força de trabalho,197
Rio Branco (AC),2º trimestre 2022,Força de trabalho - ocupada,167
Rio Branco (AC),2º trimestre 2022,Força de trabalho - desocupada,30
Rio Branco (AC),2º trimestre 2022,Fora da força de trabalho,137
Rio Branco (AC),3º trimestre 2022,Força de trabalho,186
Rio Branco (AC),3º trimestre 2022,Força de trabalho - ocupada,163
Rio Branco (AC),3º trimestre 2022,Força de trabalho - desocupada,23
Rio Branco (AC),3º trimestre 2022,Fora da força de trabalho,142
Rio Branco (AC),4º trimestre 2022,Força de trabalho,184
Rio Branco (AC),4º trimestre 2022,Força de trabalho - ocupada,160
Rio Branco (AC),4º trimestre 2022,Força de trabalho - desocupada,24
Rio Branco (AC),4º trimestre 2022,Fora da força de trabalho,147
Rio Branco (AC),1º trimestre 2023,Força de trabalho,183
Rio Branco (AC),1º trimestre 2023,Força de trabalho - ocupada,161
Rio Branco (AC),1º trimestre 2023,Força de trabalho - desocupada,22
Rio Branco (AC),1º trimestre 2023,Fora da força de trabalho,151
Rio Branco (AC),2º trimestre 2023,Força de trabalho,180
Rio Branco (AC),2º trimestre 2023,Força de trabalho - ocupada,159
Rio Branco (AC),2º trimestre 2023,Força de trabalho - desocupada,21
Rio Branco (AC),2º trimestre 2023,Fora da força de trabalho,153
Rio Branco (AC),3º trimestre 2023,Força de trabalho,181
Rio Branco (AC),3º trimestre 2023,Força de trabalho - ocupada,168
Rio Branco (AC),3º trimestre 2023,Força de trabalho - desocupada,13
Rio Branco (AC),3º trimestre 2023,Fora da força de trabalho,153
Rio Branco (AC),4º trimestre 2023,Força de trabalho,172
Rio Branco (AC),4º trimestre 2023,Força de trabalho - ocupada,159
Rio Branco (AC),4º trimestre 2023,Força de trabalho - desocupada,13
Rio Branco (AC),4º trimestre 2023,Fora da força de trabalho,164
Rio Branco (AC),1º trimestre 2024,Força de trabalho,176
Rio Branco (AC),1º trimestre 2024,Força de trabalho - ocupada,157
Rio Branco (AC),1º trimestre 2024,Força de trabalho - desocupada,18
Rio Branco (AC),1º trimestre 2024,Fora da força de trabalho,163
Rio Branco (AC),2º trimestre 2024,Força de trabalho,178
Rio Branco (AC),2º trimestre 2024,Força de trabalho - ocupada,162
Rio Branco (AC),2º trimestre 2024,Força de trabalho - desocupada,16
Rio Branco (AC),2º trimestre 2024,Fora da força de trabalho,162
Rio Branco (AC),3º trimestre 2024,Força de trabalho,187
Rio Branco (AC),3º trimestre 2024,Força de trabalho - ocupada,171
Rio Branco (AC),3º trimestre 2024,Força de trabalho - desocupada,16
Rio Branco (AC),3º trimestre 2024,Fora da força de trabalho,153
Rio Branco (AC),4º trimestre 2024,Força de trabalho,191
Rio Branco (AC),4º trimestre 2024,Força de trabalho - ocupada,175
Rio Branco (AC),4º trimestre 2024,Força de trabalho - desocupada,16
Rio Branco (AC),4º trimestre 2024,Fora da força de trabalho,151
Manaus (AM),1º trimestre 2012,Força de trabalho,939
Manaus (AM),1º trimestre 2012,Força de trabalho - ocupada,819
Manaus (AM),1º trimestre 2012,Força de trabalho - desocupada,121
